ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
ECL,2026,Q1,2026-03-31,4066100000,436600000.0,6042700000.0,6095700000.0
ECL,2025,FY,2025-12-31,16081200000,2093300000.0,,
ECL,2025,Q3,2025-09-30,4165000000,589700000.0,7106700000.0,4188200000.0
ECL,2025,Q2,2025-06-30,4025200000,926700000.0,7075800000.0,4908500000.0
ECL,2026,Q1,2025-03-31,3695000000,406500000.0,,
ECL,2024,FY,2024-12-31,4005200000,2131900000.0,,
ECL,2025,Q3,2024-09-30,11736200000,,,
ECL,2025,Q2,2024-06-30,3985800000,,,
ECL,2024,Q1,2024-03-31,3751900000,,5211700000.0,3701100000.0
ECL,2024,FY,2023-12-31,3938400000,,,
ECL,2023,Q3,2023-09-30,3958100000,,5789400000.0,4600500000.0
ECL,2024,FY,2023-06-30,3852100000,,,
ECL,2023,Q1,2023-03-31,3571600000,,5272800000.0,4489600000.0
ECL,2023,FY,2022-12-31,14187800000,1091700000.0,5494200000.0,4210400000.0
ECL,2023,FY,2022-09-30,3669300000,,,
ECL,2023,FY,2022-06-30,3580600000,,,
ECL,2022,Q1,2022-03-31,3266700000,,4604500000.0,3631300000.0
ECL,2022,FY,2021-12-31,3364600000,1144000000.0,,
ECL,2021,Q3,2021-09-30,9368500000,838700000.0,4986800000.0,2894500000.0
ECL,2021,Q2,2021-06-30,6047700000,,5487400000.0,2880300000.0
ECL,2021,FY,2021-03-31,2885000000,,,
ECL,2021,FY,2020-12-31,3065300000,,5117400000.0,2932200000.0
ECL,2021,Q3,2020-09-30,8724900000,249300000.0,,
ECL,2021,FY,2020-06-30,2685700000,,,
