ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
EEFT,2026,Q1,2026-03-31,1011800000,37300000.0,4163500000.0,3260200000.0
EEFT,2025,FY,2025-12-31,4244200000,309500000.0,,
EEFT,2025,Q3,2025-09-30,1145700000,258000000.0,4241400000.0,3673200000.0
EEFT,2025,Q2,2025-06-30,1074300000,136000000.0,4536300000.0,3935200000.0
EEFT,2026,Q1,2025-03-31,915500000,38400000.0,,
EEFT,2025,FY,2024-12-31,3989800000,306000000.0,,
EEFT,2025,Q3,2024-09-30,2942500000,151500000.0,,
EEFT,2024,Q2,2024-06-30,1843200000,,4266500000.0,3571600000.0
EEFT,2024,Q1,2024-03-31,857000000,,3927700000.0,2957000000.0
EEFT,2025,FY,2023-12-31,3688000000,,,
EEFT,2023,Q3,2023-09-30,2730300000,,3536400000.0,2568800000.0
EEFT,2024,Q2,2023-06-30,939100000,,,
EEFT,2024,Q1,2023-03-31,787200000,19800000.0,,
EEFT,2024,FY,2022-12-31,3358800000,,,
EEFT,2022,Q3,2022-09-30,931266000,97552000.0,3245890000.0,2170443000.0
EEFT,2023,Q2,2022-06-30,843300000,,,
EEFT,2023,Q1,2022-03-31,718500000,,,
EEFT,2021,FY,2021-12-31,2995443000,,,
EEFT,2021,Q3,2021-09-30,2183916000,73852000.0,3038291000.0,1642834000.0
EEFT,2021,Q2,2021-06-30,1367356000,-30000.0,2901688000.0,1621459000.0
EEFT,2021,Q1,2021-03-31,652670000,,2813191000.0,1602723000.0
EEFT,2021,FY,2020-12-31,2482700000,-3399000.0,3365935000.0,1855441000.0
EEFT,2021,Q3,2020-09-30,664351000,,,
EEFT,2021,Q2,2020-06-30,1111710000,,,
