ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
ELF,2026,FY,2026-03-31,449292000,-49365000.0,789367000.0,336164000.0
ELF,2026,FY,2025-12-31,489505000,39376000.0,,
ELF,2026,FY,2025-09-30,343936000,2996000.0,,
ELF,2026,Q1,2025-06-30,353739000,,602526000.0,184739000.0
ELF,2026,FY,2025-03-31,332645000,,540560000.0,177056000.0
ELF,2026,FY,2024-12-31,355320000,17261000.0,,
ELF,2025,Q2,2024-09-30,301075000,,554039000.0,310897000.0
ELF,2026,FY,2024-06-30,324477000,,,
ELF,2025,FY,2024-03-31,321143000,,477077000.0,299115000.0
ELF,2024,Q3,2023-12-31,270943000,,,
ELF,2026,FY,2023-09-30,215507000,33271000.0,,
ELF,2024,Q1,2023-06-30,216339000,,370409000.0,109705000.0
ELF,2023,FY,2023-03-31,578844000,,,
ELF,2025,FY,2022-12-31,146537000,,,
ELF,2025,FY,2022-09-30,122349000,11710000.0,,
ELF,2025,FY,2022-06-30,122601000,,,
ELF,2022,FY,2022-03-31,105135000,,,
ELF,2024,FY,2021-12-31,98118000,,,
ELF,2022,FY,2021-09-30,91855000,5724000.0,,
ELF,2024,FY,2021-06-30,97047000,8276000.0,,
ELF,2023,FY,2021-03-31,318110000,,,
ELF,2021,FY,2020-12-31,88562000,,,
ELF,2022,Q2,2020-09-30,136877000,,151760000.0,61027000.0
ELF,2022,FY,2020-06-30,64527000,,,
