ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
ELV,2026,Q2,2026-06-30,50474000000,1454000000.0,67184000000.0,44254000000.0
ELV,2026,Q1,2026-03-31,50181000000,1760000000.0,67032000000.0,45309000000.0
ELV,2025,FY,2025-12-31,199125000000,5662000000.0,,
ELV,2025,Q3,2025-09-30,50711000000,1187000000.0,63778000000.0,40878000000.0
ELV,2026,Q2,2025-06-30,98667000000,1743000000.0,,
ELV,2025,Q1,2025-03-31,48891000000,2183000000.0,61121000000.0,42698000000.0
ELV,2025,FY,2024-12-31,177011000000,,,
ELV,2025,Q3,2024-09-30,45106000000,5562000000.0,,
ELV,2024,Q2,2024-06-30,43886000000,2301000000.0,62274000000.0,41813000000.0
ELV,2025,Q1,2024-03-31,42577000000,,,
ELV,2024,FY,2023-12-31,171340000000,,,
ELV,2024,Q3,2023-09-30,42849000000,,,
ELV,2024,Q2,2023-06-30,85844000000,,,
ELV,2023,Q1,2023-03-31,42172000000,1989000000.0,59823000000.0,41889000000.0
ELV,2024,FY,2022-12-31,156595000000,,,
ELV,2023,Q3,2022-09-30,116666000000,,,
ELV,2023,Q2,2022-06-30,38632000000,1637000000.0,,
ELV,2023,Q1,2022-03-31,38095000000,1789000000.0,,
ELV,2023,FY,2021-12-31,138639000000,,,
ELV,2022,Q3,2021-09-30,35822000000,1502000000.0,,
ELV,2022,Q2,2021-06-30,33851000000,,,
ELV,2022,Q1,2021-03-31,32385000000,,,
ELV,2022,FY,2020-12-31,121867000000,4572000000.0,,
ELV,2021,Q3,2020-09-30,31158000000,222000000.0,,
