ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
EME,2026,Q1,2026-03-31,4628233000,305484000.0,6074493000.0,4821499000.0
EME,2025,FY,2025-12-31,16986422000,1272817000.0,,
EME,2025,Q3,2025-09-30,4301529000,838210000.0,5457823000.0,4579449000.0
EME,2025,Q2,2025-06-30,4304400000,542837000.0,5176646000.0,4394538000.0
EME,2026,Q1,2025-03-31,3867372000,,,
EME,2025,FY,2024-12-31,14566116000,1007145000.0,,
EME,2025,Q3,2024-09-30,3696924000,,,
EME,2025,Q2,2024-06-30,3666897000,,,
EME,2025,Q1,2024-03-31,3432276000,,,
EME,2024,FY,2023-12-31,12582873000,,,
EME,2024,Q3,2023-09-30,3207598000,,,
EME,2024,Q2,2023-06-30,3045622000,,,
EME,2024,Q1,2023-03-31,2890432000,111473000.0,,
EME,2023,FY,2022-12-31,11076120000,,3461973000.0,2753522000.0
EME,2023,Q3,2022-09-30,2826361000,,,
EME,2023,Q2,2022-06-30,2707388000,100664000.0,,
EME,2023,Q1,2022-03-31,2592549000,,,
EME,2021,FY,2021-12-31,9903580000,,,
EME,2022,Q3,2021-09-30,2521672000,282033000.0,,
EME,2022,Q2,2021-06-30,2437666000,182293000.0,,
EME,2022,Q1,2021-03-31,2304049000,84774000.0,,
EME,2021,FY,2020-12-31,8797061000,,3120936000.0,2163232000.0
EME,2021,Q3,2020-09-30,2201714000,61186000.0,,
EME,2021,Q2,2020-06-30,2014021000,,,
