ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
EMR,2026,Q2,2026-03-31,4562000000,618000000.0,9251000000.0,10654000000.0
EMR,2026,Q1,2025-12-31,4346000000,606000000.0,8843000000.0,10520000000.0
EMR,2025,FY,2025-09-30,18016000000,2246000000.0,,
EMR,2025,FY,2025-06-30,4553000000,,,
EMR,2025,Q2,2025-03-31,8608000000,1070000000.0,8627000000.0,10846000000.0
EMR,2026,Q1,2024-12-31,4175000000,593000000.0,,
EMR,2024,FY,2024-09-30,4619000000,996000000.0,,
EMR,2025,FY,2024-06-30,4380000000,329000000.0,,
EMR,2024,FY,2024-03-31,4376000000,,,
EMR,2025,FY,2023-12-31,4117000000,,,
EMR,2023,FY,2023-09-30,15165000000,13200000000.0,,
EMR,2024,FY,2023-06-30,3946000000,,,
EMR,2024,FY,2023-03-31,3756000000,792000000.0,,
EMR,2023,FY,2022-12-31,3373000000,,,
EMR,2023,FY,2022-09-30,3892000000,,8506000000.0,7777000000.0
EMR,2023,Q3,2022-06-30,9912000000,,,
EMR,2022,Q2,2022-03-31,9264000000,1570000000.0,13539000000.0,8072000000.0
EMR,2022,FY,2021-12-31,4473000000,,,
EMR,2022,FY,2021-09-30,18236000000,,,
EMR,2022,Q3,2021-06-30,4697000000,633000000.0,,
EMR,2021,Q2,2021-03-31,4431000000,561000000.0,7961000000.0,6294000000.0
EMR,2022,FY,2020-12-31,4161000000,,,
EMR,2021,FY,2020-09-30,4558000000,,8806000000.0,5785000000.0
EMR,2020,Q3,2020-06-30,3914000000,399000000.0,7879000000.0,5985000000.0
