ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
EOG,2026,Q1,2026-03-31,6921000000,1980000000,8963000000.0,5224000000.0
EOG,2025,FY,2025-12-31,22632000000,4980000000,,
EOG,2025,Q3,2025-09-30,5847000000,1471000000,7820000000.0,4815000000.0
EOG,2025,Q2,2025-06-30,5478000000,1345000000,9245000000.0,5175000000.0
EOG,2026,Q1,2025-03-31,5669000000,1463000000,,
EOG,2025,FY,2024-12-31,23698000000,6403000000,,
EOG,2025,Q3,2024-09-30,5965000000,1673000000,,
EOG,2024,Q2,2024-06-30,6025000000,1690000000,9803000000.0,4628000000.0
EOG,2025,Q1,2024-03-31,6123000000,1789000000,,
EOG,2025,FY,2023-12-31,24186000000,7594000000,,
EOG,2023,Q3,2023-09-30,6212000000,2030000000,10258000000.0,4225000000.0
EOG,2024,Q2,2023-06-30,5573000000,1553000000,,
EOG,2024,Q1,2023-03-31,6044000000,2023000000,,
EOG,2022,FY,2022-12-31,25702000000,7759000000,,
EOG,2023,Q3,2022-09-30,7593000000,2854000000,,
EOG,2023,Q2,2022-06-30,7407000000,2238000000,,
EOG,2023,Q1,2022-03-31,3983000000,390000000,,
EOG,2023,FY,2021-12-31,18642000000,4664000000,,
EOG,2021,Q3,2021-09-30,12598000000,2679000000,7349000000.0,3484000000.0
EOG,2022,Q2,2021-06-30,4139000000,907000000,,
EOG,2022,Q1,2021-03-31,3694000000,677000000,,
EOG,2020,FY,2020-12-31,2965498000,337466000,,
EOG,2020,Q3,2020-09-30,2245484000,-42467000,5095057000.0,3020042000.0
EOG,2020,Q2,2020-06-30,5821066000,-899571000,4597391000.0,2154381000.0
