ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
EPR,2026,Q1,2026-03-31,181252000,62610000.0,,
EPR,2025,FY,2025-12-31,718357000,274936000.0,,
EPR,2025,Q3,2025-09-30,182306000,66586000.0,,
EPR,2025,Q2,2025-06-30,178068000,,,
EPR,2026,Q1,2025-03-31,175033000,65803000.0,,
EPR,2025,FY,2024-12-31,698068000,,,
EPR,2025,Q3,2024-09-30,180507000,46650000.0,,
EPR,2024,Q2,2024-06-30,173095000,,,
EPR,2025,Q1,2024-03-31,167232000,62709000.0,,
EPR,2025,FY,2023-12-31,705668000,,,
EPR,2023,Q3,2023-09-30,189384000,127517000.0,,
EPR,2024,Q2,2023-06-30,172907000,,,
EPR,2024,Q1,2023-03-31,171396000,,,
EPR,2022,FY,2022-12-31,658031000,176229000.0,,
EPR,2023,Q3,2022-09-30,161410000,,,
EPR,2023,Q2,2022-06-30,160446000,40909000.0,,
EPR,2023,Q1,2022-03-31,157472000,,,
EPR,2023,FY,2021-12-31,531680000,,,
EPR,2022,Q3,2021-09-30,376774000,54049000.0,,
EPR,2022,Q2,2021-06-30,125362000,18552000.0,,
EPR,2022,Q1,2021-03-31,111765000,,,
EPR,2020,FY,2020-12-31,93412000,-19977000.0,,
EPR,2020,Q3,2020-09-30,321249000,-85904000.0,,
EPR,2021,Q2,2020-06-30,257372000,-62965000.0,,
