ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
ETN,2026,Q1,2026-03-31,7451000000,868000000.0,14005000000.0,11741000000.0
ETN,2025,FY,2025-12-31,27448000000,4090000000.0,,
ETN,2025,Q3,2025-09-30,6988000000,1010000000.0,12131000000.0,9474000000.0
ETN,2025,Q2,2025-06-30,7028000000,982000000.0,11897000000.0,9594000000.0
ETN,2025,Q1,2025-03-31,6377000000,,12434000000.0,9522000000.0
ETN,2024,FY,2024-12-31,24878000000,,11801000000.0,7857000000.0
ETN,2024,Q3,2024-09-30,6345000000,,12152000000.0,7941000000.0
ETN,2025,Q2,2024-06-30,6350000000,993000000.0,,
ETN,2025,Q1,2024-03-31,5943000000,,,
ETN,2024,FY,2023-12-31,23196000000,,11675000000.0,7747000000.0
ETN,2024,Q3,2023-09-30,5880000000,,,
ETN,2024,Q2,2023-06-30,5866000000,745000000.0,,
ETN,2023,Q1,2023-03-31,5483000000,,9138000000.0,6087000000.0
ETN,2024,FY,2022-12-31,20752000000,2465000000.0,,
ETN,2022,Q3,2022-09-30,15368000000,,8540000000.0,6653000000.0
ETN,2023,Q2,2022-06-30,5212000000,601000000.0,,
ETN,2022,Q1,2022-03-31,4843000000,,8194000000.0,8256000000.0
ETN,2023,FY,2021-12-31,19628000000,,,
ETN,2022,Q3,2021-09-30,14830000000,630000000.0,,
ETN,2021,Q2,2021-06-30,9907000000,964000000.0,9789000000.0,8906000000.0
ETN,2022,Q1,2021-03-31,4692000000,,,
ETN,2021,FY,2020-12-31,17858000000,1410000000.0,,
ETN,2021,Q3,2020-09-30,4526000000,446000000.0,,
ETN,2021,Q2,2020-06-30,3856000000,,,
