ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
ETR,2026,Q1,2026-03-31,3187626000,390805000.0,7810059000.0,8159972000.0
ETR,2025,FY,2025-12-31,12946686000,1773328000.0,,
ETR,2025,Q3,2025-09-30,3812019000,698424000.0,5558757000.0,7791225000.0
ETR,2025,Q2,2025-06-30,3328849000,,5189450000.0,6512873000.0
ETR,2026,Q1,2025-03-31,2846874000,362422000.0,,
ETR,2024,FY,2024-12-31,11879653000,,,
ETR,2025,Q3,2024-09-30,3389100000,645754000.0,,
ETR,2024,Q2,2024-06-30,2953620000,,5147097000.0,5487180000.0
ETR,2025,Q1,2024-03-31,2794628000,,,
ETR,2025,FY,2023-12-31,12147412000,2362310000.0,,
ETR,2024,Q3,2023-09-30,9422607000,,,
ETR,2024,Q2,2023-06-30,5827085000,704312000.0,,
ETR,2024,Q1,2023-03-31,2981059000,,,
ETR,2024,FY,2022-12-31,13764237000,,,
ETR,2023,Q3,2022-09-30,10491737000,,,
ETR,2023,Q2,2022-06-30,3395196000,,,
ETR,2022,Q1,2022-03-31,2877925000,,3839001000.0,5363185000.0
ETR,2023,FY,2021-12-31,11742896000,,,
ETR,2022,Q3,2021-09-30,3353532000,873333000.0,,
ETR,2022,Q2,2021-06-30,2822070000,,,
ETR,2021,Q1,2021-03-31,2844838000,,4788554000.0,4511906000.0
ETR,2020,FY,2020-12-31,2370101000,,,
ETR,2021,Q3,2020-09-30,2903568000,525699000.0,,
ETR,2021,Q2,2020-06-30,4839967000,,,
