ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
EVRG,2026,Q1,2026-03-31,1443700000,154600000.0,1879200000.0,4218000000.0
EVRG,2025,FY,2025-12-31,5961600000,867900000.0,,
EVRG,2025,Q3,2025-09-30,4621400000,771300000.0,1924700000.0,3733000000.0
EVRG,2025,Q2,2025-06-30,2811500000,302500000.0,1865500000.0,3709600000.0
EVRG,2025,Q1,2025-03-31,1294500000,,1834400000.0,3314400000.0
EVRG,2024,FY,2024-12-31,5847300000,873500000.0,,
EVRG,2024,Q3,2024-09-30,4477800000,,1990200000.0,3607100000.0
EVRG,2025,Q2,2024-06-30,1447500000,207000000.0,,
EVRG,2025,Q1,2024-03-31,1280600000,,,
EVRG,2023,FY,2023-12-31,5508200000,731300000.0,,
EVRG,2024,Q3,2023-09-30,4187400000,,,
EVRG,2023,Q2,2023-06-30,1354200000,,1835300000.0,3951600000.0
EVRG,2023,Q1,2023-03-31,1246900000,,1798300000.0,3466400000.0
EVRG,2024,FY,2022-12-31,5589200000,765000000.0,,
EVRG,2023,Q3,2022-09-30,1909100000,428200000.0,,
EVRG,2023,Q2,2022-06-30,2670400000,,,
EVRG,2022,Q1,2022-03-31,1167400000,,1722000000.0,3391300000.0
EVRG,2023,FY,2021-12-31,5586700000,,,
EVRG,2022,Q3,2021-09-30,4464600000,,,
EVRG,2021,Q2,2021-06-30,2848100000,376900000.0,1729600000.0,2703900000.0
EVRG,2022,Q1,2021-03-31,1611900000,,,
EVRG,2020,FY,2020-12-31,1094400000,,,
EVRG,2021,Q3,2020-09-30,1517600000,,,
EVRG,2020,Q2,2020-06-30,2232000000,,1790400000.0,2086100000.0
