ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
FCNCA,2026,Q1,2026-03-31,2313000000,534000000.0,,
FCNCA,2025,FY,2025-12-31,9541000000,2206000000.0,,
FCNCA,2025,Q3,2025-09-30,2433000000,568000000.0,,
FCNCA,2025,Q2,2025-06-30,2373000000,575000000.0,,
FCNCA,2025,Q1,2025-03-31,2298000000,,,
FCNCA,2025,FY,2024-12-31,9758000000,2777000000.0,,
FCNCA,2025,Q3,2024-09-30,2446000000,2077000000.0,,
FCNCA,2025,Q2,2024-06-30,2460000000,707000000.0,,
FCNCA,2025,Q1,2024-03-31,2444000000,731000000.0,,
FCNCA,2024,FY,2023-12-31,18787000000,,,
FCNCA,2024,FY,2022-12-31,5082000000,1098000000.0,,
