ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
FDX,2026,FY,2026-05-31,94720000000,4433000000.0,27903000000.0,18912000000.0
FDX,2026,Q3,2026-02-28,24000000000,1056000000.0,25477000000.0,17287000000.0
FDX,2026,Q2,2025-11-30,23469000000,956000000.0,20653000000.0,16214000000.0
FDX,2026,Q1,2025-08-31,22244000000,824000000.0,19344000000.0,15524000000.0
FDX,2025,FY,2025-05-31,87926000000,,,
FDX,2026,Q3,2025-02-28,22160000000,909000000.0,,
FDX,2026,Q2,2024-11-30,21967000000,,,
FDX,2025,Q1,2024-08-31,21579000000,,18094000000.0,14111000000.0
FDX,2025,FY,2024-05-31,87693000000,,,
FDX,2025,Q3,2024-02-29,21738000000,,,
FDX,2025,Q2,2023-11-30,22165000000,,,
FDX,2024,Q1,2023-08-31,21681000000,,18887000000.0,13811000000.0
FDX,2025,FY,2023-05-31,90155000000,,,
FDX,2024,Q3,2023-02-28,68225000000,2434000000.0,,
FDX,2024,Q2,2022-11-30,22814000000,788000000.0,,
FDX,2023,Q1,2022-08-31,23242000000,,19606000000.0,13765000000.0
FDX,2022,FY,2022-05-31,93512000000,,,
FDX,2023,Q3,2022-02-28,23641000000,3268000000.0,,
FDX,2022,Q2,2021-11-30,23474000000,,20747000000.0,13884000000.0
FDX,2022,Q1,2021-08-31,22003000000,1112000000.0,19546000000.0,12910000000.0
FDX,2022,FY,2021-05-31,83959000000,,20580000000.0,13660000000.0
FDX,2022,Q3,2021-02-28,21510000000,,,
FDX,2022,Q2,2020-11-30,20563000000,,,
FDX,2021,Q1,2020-08-31,19321000000,,18903000000.0,11195000000.0
