ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
FLEX,2026,FY,2026-03-31,27914000000,880000000.0,16332000000.0,12016000000.0
FLEX,2026,Q3,2025-12-31,7058000000,239000000.0,15152000000.0,10856000000.0
FLEX,2026,Q2,2025-09-26,6804000000,199000000.0,13842000000.0,10374000000.0
FLEX,2026,Q1,2025-06-27,6575000000,192000000.0,13467000000.0,9921000000.0
FLEX,2025,FY,2025-03-31,6398000000,838000000.0,,
FLEX,2026,Q3,2024-12-31,6556000000,263000000.0,,
FLEX,2026,Q2,2024-09-27,12859000000,,,
FLEX,2026,Q1,2024-06-28,6314000000,,,
FLEX,2025,FY,2024-03-31,6169000000,,,
FLEX,2024,Q3,2023-12-31,21910000000,,14877000000.0,9386000000.0
FLEX,2025,FY,2023-09-29,6933000000,,,
FLEX,2025,FY,2023-06-30,6892000000,,,
FLEX,2023,FY,2023-03-31,30346000000,,,
FLEX,2024,FY,2022-12-31,7254000000,237000000.0,,
FLEX,2024,FY,2022-09-30,7303000000,238000000.0,,
FLEX,2024,Q1,2022-07-01,7347000000,,,
FLEX,2023,FY,2022-03-31,26041000000,,,
FLEX,2022,Q3,2021-12-31,19190000000,227000000.0,13213000000.0,9642000000.0
FLEX,2022,Q2,2021-10-01,6229000000,,12183000000.0,8688000000.0
FLEX,2023,Q1,2021-07-02,6342000000,206000000.0,,
FLEX,2022,FY,2021-03-31,6266000000,240000000.0,11363000000.0,7834000000.0
FLEX,2021,Q3,2020-12-31,17858000000,,11111000000.0,7519000000.0
FLEX,2022,Q2,2020-09-25,5985000000,,,
FLEX,2022,Q1,2020-06-26,5153000000,52000000.0,,
