ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
FLS,2026,Q1,2026-03-31,1068269000,86369000.0,3054613000.0,1377606000.0
FLS,2025,FY,2025-12-31,4729260000,346247000.0,,
FLS,2025,Q3,2025-09-30,3507069000,219582000.0,3164825000.0,1504827000.0
FLS,2025,Q2,2025-06-30,1188092000,167681000.0,3004028000.0,1430382000.0
FLS,2026,Q1,2025-03-31,1144543000,73905000.0,,
FLS,2024,FY,2024-12-31,4557806000,,,
FLS,2024,Q3,2024-09-30,3377458000,205218000.0,2869787000.0,1440366000.0
FLS,2025,Q2,2024-06-30,1156892000,,,
FLS,2024,Q1,2024-03-31,1087479000,,2766577000.0,1474176000.0
FLS,2023,FY,2023-12-31,4320577000,,,
FLS,2024,Q3,2023-09-30,3155399000,,,
FLS,2024,Q2,2023-06-30,1080376000,,,
FLS,2024,Q1,2023-03-31,980305000,29996000.0,,
FLS,2024,FY,2022-12-31,3615120000,188689000.0,,
FLS,2023,Q3,2022-09-30,2576161000,,,
FLS,2022,Q2,2022-06-30,1703280000,,2280927000.0,1091717000.0
FLS,2023,Q1,2022-03-31,821058000,-13679000.0,,
FLS,2021,FY,2021-12-31,919500000,16700000.0,,
FLS,2021,FY,2021-09-30,866100000,,,
FLS,2021,Q2,2021-06-30,1755486000,59434000.0,2440688000.0,1069716000.0
FLS,2022,Q1,2021-03-31,857308000,,,
FLS,2021,FY,2020-12-31,985300000,,2904333000.0,1141633000.0
FLS,2021,Q3,2020-09-30,2742826000,,,
FLS,2021,Q2,2020-06-30,1818526000,,2430602000.0,1090363000.0
