ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
FMC,2026,Q1,2026-03-31,758600000,-281200000.0,4904900000.0,3813300000.0
FMC,2025,FY,2025-12-31,1083300000,-2238900000.0,,
FMC,2025,FY,2025-09-30,542200000,,,
FMC,2025,Q2,2025-06-30,1050500000,67800000.0,5467300000.0,3573100000.0
FMC,2025,Q1,2025-03-31,791400000,-15500000.0,5077600000.0,3305300000.0
FMC,2025,FY,2024-12-31,1224300000,,,
FMC,2025,Q3,2024-09-30,1065400000,65000000.0,,
FMC,2025,Q2,2024-06-30,1038400000,,,
FMC,2025,FY,2024-03-31,918000000,,,
FMC,2023,FY,2023-12-31,1146100000,,,
FMC,2024,FY,2023-09-30,981900000,,,
FMC,2024,Q2,2023-06-30,1014500000,,,
FMC,2024,FY,2023-03-31,1344300000,,,
FMC,2023,FY,2022-12-31,1622000000,,5438600000.0,3799600000.0
FMC,2022,FY,2022-09-30,1377200000,,,
FMC,2023,Q2,2022-06-30,1452300000,341600000.0,,
FMC,2023,FY,2022-03-31,1350800000,,,
FMC,2022,FY,2021-12-31,1413600000,184800000.0,,
FMC,2022,FY,2021-09-30,1194000000,,,
FMC,2021,FY,2021-06-30,1242000000,,,
FMC,2021,FY,2021-03-31,1195600000,,,
FMC,2021,FY,2020-12-31,1152200000,,4375600000.0,2829000000.0
FMC,2020,Q3,2020-09-30,3489900000,,4015200000.0,2368300000.0
FMC,2021,FY,2020-06-30,1155300000,,,
