ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
FTNT,2026,Q1,2026-03-31,1849600000,534500000.0,5332600000.0,4623500000.0
FTNT,2025,FY,2025-12-31,6799600000,1853400000.0,,
FTNT,2025,Q3,2025-09-30,1724900000,473900000.0,4913500000.0,4786100000.0
FTNT,2025,Q2,2025-06-30,3169700000,440100000.0,6346300000.0,4777100000.0
FTNT,2026,Q1,2025-03-31,1539700000,433400000.0,,
FTNT,2024,FY,2024-12-31,5955800000,,,
FTNT,2025,Q3,2024-09-30,1508100000,,,
FTNT,2025,Q2,2024-06-30,1434300000,379800000.0,,
FTNT,2025,Q1,2024-03-31,1353300000,,,
FTNT,2023,FY,2023-12-31,5304800000,,,
FTNT,2024,Q3,2023-09-30,1334600000,,,
FTNT,2024,Q2,2023-06-30,1292800000,,,
FTNT,2024,Q1,2023-03-31,1262300000,247700000.0,,
FTNT,2024,FY,2022-12-31,4417400000,,,
FTNT,2023,Q3,2022-09-30,1149500000,231100000.0,,
FTNT,2022,Q2,2022-06-30,1030100000,,2952900000.0,2634900000.0
FTNT,2022,Q1,2022-03-31,954800000,,3208300000.0,2510500000.0
FTNT,2021,FY,2021-12-31,3342200000,,,
FTNT,2021,Q3,2021-09-30,2378600000,407800000.0,3963500000.0,2198000000.0
FTNT,2022,Q2,2021-06-30,801100000,137500000.0,,
FTNT,2022,Q1,2021-03-31,710300000,107200000.0,,
FTNT,2022,FY,2020-12-31,2594400000,488500000.0,,
FTNT,2020,Q3,2020-09-30,1846400000,,2384600000.0,1645600000.0
FTNT,2021,Q2,2020-06-30,617600000,113800000.0,,
