ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
GAP,2026,Q1,2026-05-02,3497000000,339000000.0,5239000000.0,2901000000.0
GAP,2025,FY,2026-01-31,15366000000,816000000.0,,
GAP,2025,Q3,2025-11-01,3942000000,236000000.0,5640000000.0,3279000000.0
GAP,2025,Q2,2025-08-02,3725000000,216000000.0,5377000000.0,3197000000.0
GAP,2026,Q1,2025-05-03,3463000000,193000000.0,4884000000.0,2854000000.0
GAP,2025,FY,2025-02-01,15086000000,,,
GAP,2025,Q3,2024-11-02,10937000000,274000000.0,5130000000.0,3325000000.0
GAP,2024,Q2,2024-08-03,7108000000,,,
GAP,2024,Q1,2024-05-04,3388000000,158000000.0,,
GAP,2025,FY,2024-02-03,14889000000,,,
GAP,2024,Q3,2023-10-28,3767000000,218000000.0,4374000000.0,3139000000.0
GAP,2023,Q2,2023-07-29,6824000000,117000000.0,,
GAP,2023,Q1,2023-04-29,3276000000,,,
GAP,2022,FY,2023-01-28,15616000000,-202000000.0,,
GAP,2022,Q3,2022-10-29,4039000000,,,
GAP,2022,Q2,2022-07-30,7334000000,,,
GAP,2022,Q1,2022-04-30,3477000000,,,
GAP,2023,FY,2022-01-29,16670000000,256000000.0,,
GAP,2022,Q3,2021-10-30,3943000000,-152000000.0,,
GAP,2021,Q2,2021-07-31,8202000000,258000000.0,,
GAP,2021,Q1,2021-05-01,3991000000,,,
GAP,2020,FY,2021-01-30,13800000000,,,
GAP,2021,Q3,2020-10-31,9376000000,-899000000.0,,
GAP,2020,Q2,2020-08-01,3275000000,,,
