ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
GM,2026,Q2,2026-06-30,48026000000,1354000000.0,110008000000.0,96834000000.0
GM,2026,Q1,2026-03-31,39349000000,2627000000.0,109121000000.0,94720000000.0
GM,2025,FY,2025-12-31,185019000000,2697000000.0,,
GM,2025,Q3,2025-09-30,126986000000,6040000000.0,114636000000.0,93295000000.0
GM,2026,Q2,2025-06-30,47122000000,,,
GM,2026,Q1,2025-03-31,44020000000,,,
GM,2024,FY,2024-12-31,171606000000,6008000000.0,,
GM,2025,Q3,2024-09-30,44735000000,,,
GM,2024,Q2,2024-06-30,83273000000,,112064000000.0,95363000000.0
GM,2024,Q1,2024-03-31,39212000000,,106470000000.0,91777000000.0
GM,2023,FY,2023-12-31,157658000000,,,
GM,2024,Q3,2023-09-30,118398000000,,,
GM,2024,Q2,2023-06-30,44746000000,,,
GM,2024,Q1,2023-03-31,36646000000,,,
GM,2024,FY,2022-12-31,156735000000,9934000000.0,,
GM,2023,Q3,2022-09-30,38703000000,7701000000.0,,
GM,2022,Q2,2022-06-30,71738000000,,91094000000.0,79398000000.0
GM,2023,Q1,2022-03-31,32824000000,2807000000.0,,
GM,2021,FY,2021-12-31,127004000000,,,
GM,2022,Q3,2021-09-30,93420000000,,,
GM,2021,Q2,2021-06-30,59811000000,5793000000.0,82609000000.0,74811000000.0
GM,2021,Q1,2021-03-31,32474000000,,82091000000.0,76323000000.0
GM,2020,FY,2020-12-31,108673000000,6321000000.0,,
GM,2021,Q3,2020-09-30,32067000000,,,
