ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
GNRC,2026,Q1,2026-03-31,1059365000,73112000.0,2448968000.0,1207782000.0
GNRC,2025,FY,2025-12-31,4209147000,159554000.0,,
GNRC,2025,Q3,2025-09-30,1114353000,66580000.0,2502113000.0,1146319000.0
GNRC,2025,Q2,2025-06-30,1061169000,74430000.0,2245689000.0,1121280000.0
GNRC,2026,Q1,2025-03-31,942121000,44278000.0,,
GNRC,2024,FY,2024-12-31,4295834000,316315000.0,,
GNRC,2024,Q3,2024-09-30,1173563000,,2073375000.0,1019474000.0
GNRC,2025,Q2,2024-06-30,998197000,59053000.0,,
GNRC,2024,Q1,2024-03-31,889273000,26478000.0,2053913000.0,897901000.0
GNRC,2023,FY,2023-12-31,1063670000,214606000.0,,
GNRC,2024,Q3,2023-09-30,2958997000,,,
GNRC,2024,Q2,2023-06-30,1000420000,,,
GNRC,2023,FY,2023-03-31,887910000,,,
GNRC,2023,FY,2022-12-31,1049232000,,2182348000.0,992044000.0
GNRC,2022,Q3,2022-09-30,3515505000,,2313269000.0,1105130000.0
GNRC,2023,FY,2022-06-30,1291391000,,,
GNRC,2023,Q1,2022-03-31,1135856000,,,
GNRC,2022,FY,2021-12-31,3737184000,142895000.0,1848464000.0,1155907000.0
GNRC,2022,FY,2021-09-30,942698000,,,
GNRC,2021,FY,2021-06-30,919981000,,,
GNRC,2021,Q1,2021-03-31,807434000,,1857607000.0,710265000.0
GNRC,2020,FY,2020-12-31,761082000,347218000.0,1669733000.0,641524000.0
GNRC,2021,FY,2020-09-30,701355000,,,
GNRC,2020,Q2,2020-06-30,546848000,66145000.0,1297106000.0,486720000.0
