ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
GPN,2026,Q1,2026-03-31,2969682000,-1779052000.0,11674225000.0,14746974000.0
GPN,2025,FY,2025-12-31,7705878000,1456047000.0,,
GPN,2025,Q3,2025-09-30,5773071000,660595000.0,7206927000.0,8433005000.0
GPN,2025,Q2,2025-06-30,1956747000,246098000.0,7752987000.0,8183375000.0
GPN,2026,Q1,2025-03-31,1820318000,305734000.0,,
GPN,2024,FY,2024-12-31,10105894000,1570365000.0,,
GPN,2024,Q3,2024-09-30,2601552000,1003192000.0,7901082000.0,8528877000.0
GPN,2024,Q2,2024-06-30,4988955000,374760000.0,8550332000.0,9329351000.0
GPN,2025,Q1,2024-03-31,2420187000,323062000.0,,
GPN,2024,FY,2023-12-31,9654419000,1028823000.0,,
GPN,2024,Q3,2023-09-30,2475691000,376605000.0,,
GPN,2024,Q2,2023-06-30,2452469000,284206000.0,,
GPN,2023,Q1,2023-03-31,2292447000,-11041000.0,5595054000.0,6083410000.0
GPN,2024,FY,2022-12-31,8975515000,111493000.0,,
GPN,2023,Q3,2022-09-30,2285371000,-115250000.0,,
GPN,2023,Q2,2022-06-30,2280906000,-665051000.0,,
GPN,2023,Q1,2022-03-31,2156254000,,,
GPN,2021,FY,2021-12-31,8523762000,965460000.0,,
GPN,2022,Q3,2021-09-30,2202337000,757007000.0,,
GPN,2022,Q2,2021-06-30,2137437000,263590000.0,,
GPN,2022,Q1,2021-03-31,1990007000,,,
GPN,2020,FY,2020-12-31,1930193000,584520000.0,,
GPN,2021,Q3,2020-09-30,5493365000,,,
GPN,2020,FY,2020-06-30,1671952000,,,
