ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
GTM,2026,Q1,2026-03-31,310200000,29300000.0,410000000.0,598500000.0
GTM,2025,FY,2025-12-31,1249500000,124200000.0,,
GTM,2025,Q3,2025-09-30,318000000,38700000.0,372200000.0,556800000.0
GTM,2025,Q2,2025-06-30,306700000,,439000000.0,619400000.0
GTM,2026,Q1,2025-03-31,305700000,,,
GTM,2024,FY,2024-12-31,1214300000,,,
GTM,2025,Q3,2024-09-30,303600000,14500000.0,,
GTM,2025,Q2,2024-06-30,291500000,,,
GTM,2024,Q1,2024-03-31,310100000,,740200000.0,664100000.0
GTM,2024,FY,2023-12-31,1239500000,,864300000.0,638400000.0
GTM,2024,Q3,2023-09-30,313800000,30200000.0,,
GTM,2023,Q2,2023-06-30,308600000,,944700000.0,607900000.0
GTM,2024,Q1,2023-03-31,300700000,,,
GTM,2022,FY,2022-12-31,1098000000,,,
GTM,2022,Q3,2022-09-30,287600000,17900000.0,663200000.0,518000000.0
GTM,2023,Q2,2022-06-30,267100000,,,
GTM,2023,Q1,2022-03-31,241700000,,,
GTM,2022,FY,2021-12-31,747200000,,,
GTM,2022,Q3,2021-09-30,197600000,-40900000.0,,
GTM,2021,Q2,2021-06-30,174000000,9300000.0,530000000.0,385500000.0
GTM,2021,Q1,2021-03-31,153300000,,485500000.0,348200000.0
GTM,2021,FY,2020-12-31,476200000,,439500000.0,320800000.0
GTM,2021,Q3,2020-09-30,123400000,,,
GTM,2021,Q2,2020-06-30,110900000,-77900000.0,,
