ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
GWW,2026,Q1,2026-03-31,4742000000,581000000.0,5907000000.0,2199000000.0
GWW,2025,FY,2025-12-31,17942000000,1706000000.0,,
GWW,2025,Q3,2025-09-30,4657000000,321000000.0,5474000000.0,2015000000.0
GWW,2025,Q2,2025-06-30,4554000000,,5650000000.0,2002000000.0
GWW,2026,Q1,2025-03-31,4306000000,,,
GWW,2025,FY,2024-12-31,17168000000,,,
GWW,2025,Q3,2024-09-30,12935000000,1492000000.0,,
GWW,2024,Q2,2024-06-30,8547000000,948000000.0,5521000000.0,2397000000.0
GWW,2024,Q1,2024-03-31,4235000000,,5540000000.0,2528000000.0
GWW,2025,FY,2023-12-31,16478000000,,,
GWW,2023,Q3,2023-09-30,12481000000,1491000000.0,5412000000.0,1898000000.0
GWW,2024,Q2,2023-06-30,4182000000,958000000.0,,
GWW,2024,Q1,2023-03-31,4091000000,,,
GWW,2024,FY,2022-12-31,15228000000,1547000000.0,,
GWW,2022,Q3,2022-09-30,3942000000,1163000000.0,4686000000.0,1785000000.0
GWW,2023,Q2,2022-06-30,3837000000,371000000.0,,
GWW,2023,Q1,2022-03-31,3647000000,,,
GWW,2021,FY,2021-12-31,13022000000,,,
GWW,2021,Q3,2021-09-30,9663000000,,4005000000.0,1550000000.0
GWW,2021,Q2,2021-06-30,6291000000,225000000.0,4057000000.0,1589000000.0
GWW,2021,Q1,2021-03-31,3084000000,,3934000000.0,1531000000.0
GWW,2021,FY,2020-12-31,11797000000,,3919000000.0,1441000000.0
GWW,2021,Q3,2020-09-30,3018000000,,,
GWW,2021,Q2,2020-06-30,5838000000,,,
