ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
HAL,2018,Q2,2018-06-30,4808000000,,,
HAL,2018,Q1,2018-03-31,4388000000,,,
HAL,2017,FY,2017-12-31,15408000000,,,
HAL,2017,Q3,2017-09-30,5444000000,,,
HAL,2017,Q2,2017-06-30,9236000000,,,
HAL,2017,Q1,2017-03-31,4279000000,,,
HAL,2016,FY,2016-12-31,11140000000,,,
HAL,2017,Q3,2016-09-30,8320000000,,,
HAL,2017,Q2,2016-06-30,8033000000,,,
HAL,2016,Q1,2016-03-31,2985000000,,,
HAL,2015,FY,2015-12-31,23633000000,,,
HAL,2015,Q3,2015-09-30,18551000000,,,
HAL,2015,Q2,2015-06-30,5919000000,,,
HAL,2015,Q1,2015-03-31,7050000000,,,
HAL,2016,FY,2014-12-31,24535000000,,,
HAL,2015,Q3,2014-09-30,18332000000,,,
HAL,2015,Q2,2014-06-30,6127000000,,,
HAL,2015,Q1,2014-03-31,5540000000,,,
HAL,2015,FY,2013-12-31,22257000000,,,
HAL,2013,Q3,2013-09-30,7472000000,,,
HAL,2014,Q2,2013-06-30,7317000000,,,
HAL,2014,Q1,2013-03-31,5334000000,,,
HAL,2012,FY,2012-12-31,22196000000,,,
HAL,2013,Q3,2012-09-30,5521000000,,,
