ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
HD,2026,Q1,2026-05-03,41765000000,3289000000.0,37172000000.0,35580000000.0
HD,2025,FY,2026-02-01,164683000000,14156000000.0,,
HD,2025,Q3,2025-11-02,41352000000,3601000000.0,36115000000.0,34367000000.0
HD,2025,Q2,2025-08-03,45277000000,4551000000.0,35391000000.0,30846000000.0
HD,2026,Q1,2025-05-04,39856000000,3433000000.0,,
HD,2024,FY,2025-02-02,159514000000,,,
HD,2024,Q3,2024-10-27,40217000000,,32949000000.0,29092000000.0
HD,2025,Q2,2024-07-28,43175000000,,,
HD,2025,Q1,2024-04-28,36418000000,3600000000.0,,
HD,2024,FY,2024-01-28,152669000000,,,
HD,2024,Q3,2023-10-29,117883000000,,,
HD,2024,Q2,2023-07-30,42916000000,4659000000.0,,
HD,2024,Q1,2023-04-30,37257000000,3873000000.0,,
HD,2022,FY,2023-01-29,157403000000,17105000000.0,,
HD,2023,Q3,2022-10-30,38872000000,4339000000.0,,
HD,2022,Q2,2022-07-31,82700000000,,32941000000.0,27834000000.0
HD,2023,Q1,2022-05-01,38908000000,4231000000.0,,
HD,2023,FY,2022-01-30,151157000000,16433000000.0,,
HD,2021,Q3,2021-10-31,115438000000,13081000000.0,30466000000.0,26903000000.0
HD,2021,Q2,2021-08-01,78618000000,,28262000000.0,26666000000.0
HD,2021,Q1,2021-05-02,37500000000,,30672000000.0,27758000000.0
HD,2020,FY,2021-01-31,132110000000,,,
HD,2021,Q3,2020-11-01,99849000000,3432000000.0,,
HD,2020,Q2,2020-08-02,66313000000,4332000000.0,31361000000.0,24199000000.0
