ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
HII,2026,Q1,2026-03-31,3099000000,149000000.0,3217000000.0,2702000000.0
HII,2025,FY,2025-12-31,12484000000,605000000.0,,
HII,2025,Q3,2025-09-30,3192000000,145000000.0,3078000000.0,2702000000.0
HII,2025,Q2,2025-06-30,3082000000,152000000.0,2973000000.0,2750000000.0
HII,2026,Q1,2025-03-31,2734000000,149000000.0,,
HII,2025,FY,2024-12-31,11535000000,550000000.0,3228000000.0,2991000000.0
HII,2024,Q3,2024-09-30,8531000000,,2629000000.0,3336000000.0
HII,2025,Q2,2024-06-30,5782000000,326000000.0,,
HII,2025,Q1,2024-03-31,2805000000,153000000.0,,
HII,2025,FY,2023-12-31,11454000000,681000000.0,,
HII,2023,Q3,2023-09-30,8277000000,,2587000000.0,2817000000.0
HII,2024,Q2,2023-06-30,2787000000,130000000.0,,
HII,2024,Q1,2023-03-31,2674000000,,,
HII,2024,FY,2022-12-31,10676000000,579000000.0,,
HII,2022,Q3,2022-09-30,2626000000,,2817000000.0,2892000000.0
HII,2023,Q2,2022-06-30,2662000000,178000000.0,,
HII,2023,Q1,2022-03-31,2576000000,140000000.0,,
HII,2023,FY,2021-12-31,9524000000,,,
HII,2022,Q3,2021-09-30,2338000000,147000000.0,,
HII,2022,Q2,2021-06-30,2231000000,129000000.0,,
HII,2022,Q1,2021-03-31,2278000000,148000000.0,,
HII,2022,FY,2020-12-31,9361000000,,,
HII,2021,Q3,2020-09-30,2314000000,447000000.0,,
HII,2020,FY,2020-06-30,2027000000,,,
