ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
HOOD,2026,Q1,2026-03-31,1067000000,350000000.0,43413000000.0,35554000000.0
HOOD,2025,FY,2025-12-31,4473000000,1883000000.0,,
HOOD,2025,Q3,2025-09-30,1274000000,556000000.0,39979000000.0,32762000000.0
HOOD,2025,Q2,2025-06-30,989000000,386000000.0,33833000000.0,27122000000.0
HOOD,2026,Q1,2025-03-31,927000000,336000000.0,,
HOOD,2025,FY,2024-12-31,2951000000,1411000000.0,,
HOOD,2025,Q3,2024-09-30,637000000,150000000.0,,
HOOD,2024,Q2,2024-06-30,682000000,,40706000000.0,34140000000.0
HOOD,2025,Q1,2024-03-31,618000000,157000000.0,,
HOOD,2025,FY,2023-12-31,1865000000,-541000000.0,,
HOOD,2023,Q3,2023-09-30,467000000,,25739000000.0,19648000000.0
HOOD,2024,Q2,2023-06-30,486000000,25000000.0,,
HOOD,2024,Q1,2023-03-31,441000000,-511000000.0,,
HOOD,2024,FY,2022-12-31,1358000000,-1028000000.0,,
HOOD,2023,Q3,2022-09-30,361000000,-175000000.0,,
HOOD,2023,Q2,2022-06-30,318000000,-295000000.0,,
HOOD,2023,Q1,2022-03-31,299000000,-392000000.0,,
HOOD,2021,FY,2021-12-31,1815143000,-3686432000.0,,
HOOD,2021,Q3,2021-09-30,364923000,,18849696000.0,11798418000.0
HOOD,2021,Q2,2021-06-30,451167000,,17900887000.0,12240276000.0
HOOD,2022,Q1,2021-03-31,522000000,-1445000000.0,,
HOOD,2022,FY,2020-12-31,958000000,7000000.0,,
HOOD,2021,Q3,2020-09-30,269530000,-10661000.0,,
HOOD,2021,Q2,2020-06-30,187413000,57584000.0,,
