ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
HRB,2026,Q3,2026-03-31,2398107000,847901000.0,1288483000.0,1294413000.0
HRB,2026,Q2,2025-12-31,198865000,,841778000.0,654829000.0
HRB,2025,Q1,2025-09-30,203551000,,564238000.0,739551000.0
HRB,2025,FY,2025-06-30,3760995000,605773000.0,1162548000.0,1298610000.0
HRB,2026,Q3,2025-03-31,2277104000,306334000.0,,
HRB,2026,Q2,2024-12-31,179070000,,,
HRB,2025,Q1,2024-09-30,193810000,,611603000.0,795885000.0
HRB,2025,FY,2024-06-30,3610347000,595317000.0,1239476000.0,977328000.0
HRB,2025,Q3,2024-03-31,2184834000,,,
HRB,2024,Q2,2023-12-31,362883000,,898885000.0,745587000.0
HRB,2025,Q1,2023-09-30,183800000,,,
HRB,2025,FY,2023-06-30,3472185000,553700000.0,,
HRB,2023,Q3,2023-03-31,2440039000,643429000.0,1302815000.0,1115582000.0
HRB,2024,Q2,2022-12-31,166405000,,,
HRB,2024,Q1,2022-09-30,179985000,,,
HRB,2023,FY,2022-06-30,3463270000,,1384458000.0,998813000.0
HRB,2023,Q3,2022-03-31,2061757000,,,
HRB,2021,FY,2021-12-31,351440000,,1239604000.0,1171440000.0
HRB,2023,FY,2021-09-30,192624000,,,
HRB,2023,FY,2021-06-30,466106000,89610000.0,,
HRB,2023,FY,2021-04-30,3413987000,583791000.0,,
HRB,2022,FY,2021-03-31,1983564000,440240000.0,,
HRB,2021,Q3,2021-01-31,308227000,-232994000.0,1220642000.0,691483000.0
HRB,2021,FY,2020-12-31,141965000,,,
