ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
H,2026,Q1,2026-03-31,1748000000,41000000.0,2083000000.0,3448000000.0
H,2025,FY,2025-12-31,7101000000,-52000000.0,,
H,2025,Q3,2025-09-30,1786000000,-50000000.0,2117000000.0,3084000000.0
H,2025,Q2,2025-06-30,1808000000,,2319000000.0,3294000000.0
H,2026,Q1,2025-03-31,1718000000,24000000.0,,
H,2025,FY,2024-12-31,6648000000,1296000000.0,2733000000.0,3274000000.0
H,2025,Q3,2024-09-30,5046000000,1352000000.0,,
H,2024,Q2,2024-06-30,3417000000,,3084000000.0,3744000000.0
H,2025,Q1,2024-03-31,1714000000,,,
H,2025,FY,2023-12-31,6667000000,,,
H,2024,Q3,2023-09-30,1622000000,,,
H,2023,Q2,2023-06-30,3385000000,,1990000000.0,2621000000.0
H,2024,Q1,2023-03-31,1680000000,,,
H,2024,FY,2022-12-31,5891000000,455000000.0,,
H,2023,Q3,2022-09-30,1541000000,,,
H,2022,Q2,2022-06-30,2762000000,133000000.0,2892000000.0,2411000000.0
H,2023,Q1,2022-03-31,1279000000,,,
H,2023,FY,2021-12-31,3028000000,,,
H,2022,Q3,2021-09-30,851000000,-193000000.0,,
H,2021,Q2,2021-06-30,663000000,,2474000000.0,1017000000.0
H,2021,Q1,2021-03-31,438000000,-304000000.0,2332000000.0,950000000.0
H,2020,FY,2020-12-31,2066000000,,,
H,2021,Q3,2020-09-30,1642000000,,,
H,2020,Q2,2020-06-30,1243000000,,1938000000.0,701000000.0
