ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
IR,2026,Q1,2026-03-31,1847200000,193800000.0,4289800000.0,1926200000.0
IR,2025,FY,2025-12-31,7650900000,588800000.0,,
IR,2025,Q3,2025-09-30,1955000000,245800000.0,4163300000.0,1925600000.0
IR,2025,Q2,2025-06-30,1887900000,71200000.0,4188400000.0,1832400000.0
IR,2026,Q1,2025-03-31,1716800000,188400000.0,,
IR,2025,FY,2024-12-31,7235000000,,4163500000.0,1818900000.0
IR,2025,Q3,2024-09-30,5336400000,614400000.0,,
IR,2025,Q2,2024-06-30,1805300000,186500000.0,,
IR,2025,Q1,2024-03-31,1670100000,,,
IR,2025,FY,2023-12-31,6876100000,778700000.0,,
IR,2023,Q3,2023-09-30,5054700000,208300000.0,3733400000.0,1654700000.0
IR,2023,Q2,2023-06-30,1686500000,180800000.0,3727000000.0,1624100000.0
IR,2024,Q1,2023-03-31,1629300000,161100000.0,,
IR,2024,FY,2022-12-31,5916300000,604700000.0,,
IR,2022,Q3,2022-09-30,4292600000,,3744800000.0,1523000000.0
IR,2023,Q2,2022-06-30,1439900000,243800000.0,,
IR,2023,Q1,2022-03-31,1337000000,104500000.0,,
IR,2023,FY,2021-12-31,5152400000,,,
IR,2021,Q3,2021-09-30,3733600000,126000000.0,4030900000.0,1632600000.0
IR,2021,Q2,2021-06-30,2408600000,143500000.0,5712400000.0,1823000000.0
IR,2022,Q1,2021-03-31,1129500000,-90100000.0,,
IR,2022,FY,2020-12-31,3973200000,,,
IR,2021,Q3,2020-09-30,1112500000,,,
IR,2021,Q2,2020-06-30,1025400000,-176500000.0,,
