ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
JBHT,2017,FY,2017-12-31,6435858000,,,
JBHT,2017,Q3,2017-09-30,5199408000,,,
JBHT,2017,Q2,2017-06-30,1726915000,,,
JBHT,2017,Q1,2017-03-31,1629158000,,,
JBHT,2016,FY,2016-12-31,1721062000,,,
JBHT,2016,FY,2016-09-30,1690659000,,,
JBHT,2017,FY,2016-06-30,1615026000,,,
JBHT,2016,Q1,2016-03-31,1528712000,,,
JBHT,2017,FY,2015-12-31,6187646000,,,
JBHT,2015,Q3,2015-09-30,1419451000,,,
JBHT,2016,FY,2015-06-30,1539957000,,,
JBHT,2015,Q1,2015-03-31,1263910000,,,
JBHT,2014,FY,2014-12-31,5082827000,,,
JBHT,2014,FY,2014-09-30,1601156000,,,
JBHT,2014,Q2,2014-06-30,2420985000,,,
JBHT,2015,Q1,2014-03-31,1152349000,,,
JBHT,2015,FY,2013-12-31,4527238000,,,
JBHT,2013,Q3,2013-09-30,1165965000,,,
JBHT,2013,Q2,2013-06-30,1382858000,,,
JBHT,2013,FY,2013-03-31,1291587000,,,
JBHT,2013,FY,2012-12-31,1338136000,,,
JBHT,2013,FY,2012-09-30,1295792000,,,
JBHT,2012,Q2,2012-06-30,1944202000,,,
JBHT,2013,Q1,2012-03-31,1165922000,,,
