ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
KBR,2026,Q1,2026-04-03,1923000000,101000000.0,1947000000.0,1684000000.0
KBR,2025,FY,2026-01-02,7786000000,403000000.0,,
KBR,2025,Q3,2025-10-03,1931000000,304000000.0,2085000000.0,1771000000.0
KBR,2025,Q2,2025-07-04,1952000000,173000000.0,2092000000.0,1857000000.0
KBR,2026,Q1,2025-04-04,2018000000,,,
KBR,2025,FY,2025-01-03,7710000000,375000000.0,,
KBR,2025,Q3,2024-09-27,5602000000,,,
KBR,2024,Q2,2024-06-28,3673000000,,1825000000.0,1653000000.0
KBR,2025,Q1,2024-03-29,1818000000,94000000.0,,
KBR,2025,FY,2023-12-29,6956000000,-265000000.0,,
KBR,2024,Q3,2023-09-29,1770000000,-286000000.0,,
KBR,2023,Q2,2023-06-30,3456000000,-351000000.0,2374000000.0,2252000000.0
KBR,2023,Q1,2023-03-31,1703000000,86000000.0,1912000000.0,1928000000.0
KBR,2024,FY,2022-12-31,6564000000,192000000.0,,
KBR,2022,Q3,2022-09-30,4956000000,,1719000000.0,1389000000.0
KBR,2022,Q2,2022-06-30,1616000000,94000000.0,1882000000.0,1492000000.0
KBR,2023,Q1,2022-03-31,1714000000,,,
KBR,2023,FY,2021-12-31,7339000000,,,
KBR,2021,Q3,2021-09-30,1843000000,-43000000.0,2136000000.0,1788000000.0
KBR,2022,Q2,2021-06-30,1536000000,,,
KBR,2022,Q1,2021-03-31,1461000000,50000000.0,,
KBR,2020,FY,2020-12-31,5767000000,-72000000.0,,
KBR,2020,Q3,2020-09-30,4301000000,,2207000000.0,1433000000.0
KBR,2020,Q2,2020-06-30,1385000000,,1897000000.0,1495000000.0
