ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
KEYS,2026,Q2,2026-04-30,1717000000,349000000.0,5042000000.0,2649000000.0
KEYS,2026,Q1,2026-01-31,1600000000,281000000.0,4701000000.0,1805000000.0
KEYS,2025,FY,2025-10-31,5375000000,850000000.0,,
KEYS,2025,Q3,2025-07-31,1352000000,191000000.0,5604000000.0,1560000000.0
KEYS,2026,Q2,2025-04-30,1306000000,257000000.0,,
KEYS,2026,Q1,2025-01-31,1298000000,,,
KEYS,2025,FY,2024-10-31,4979000000,,,
KEYS,2025,Q3,2024-07-31,1217000000,,,
KEYS,2024,Q2,2024-04-30,1216000000,,3968000000.0,1994000000.0
KEYS,2025,Q1,2024-01-31,1259000000,172000000.0,,
KEYS,2025,FY,2023-10-31,5464000000,,,
KEYS,2024,Q3,2023-07-31,1382000000,,,
KEYS,2023,Q2,2023-04-30,2771000000,,4764000000.0,1422000000.0
KEYS,2024,Q1,2023-01-31,1381000000,260000000.0,,
KEYS,2024,FY,2022-10-31,5420000000,1124000000.0,,
KEYS,2023,Q3,2022-07-31,1376000000,338000000.0,,
KEYS,2023,Q2,2022-04-30,1351000000,,,
KEYS,2022,Q1,2022-01-31,1250000000,,3808000000.0,1257000000.0
KEYS,2022,FY,2021-10-31,4941000000,,,
KEYS,2022,Q3,2021-07-31,1246000000,,,
KEYS,2022,Q2,2021-04-30,2401000000,,,
KEYS,2022,Q1,2021-01-31,1180000000,172000000.0,,
KEYS,2022,FY,2020-10-31,4221000000,627000000.0,,
KEYS,2020,Q3,2020-07-31,1011000000,410000000.0,3278000000.0,980000000.0
