ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
KLAC,2026,Q3,2026-03-31,3415078000,3467712000.0,11350979000.0,3751555000.0
KLAC,2026,Q2,2025-12-31,3297146000,,11263805000.0,3982472000.0
KLAC,2026,Q1,2025-09-30,3209696000,,10901160000.0,4049970000.0
KLAC,2025,FY,2025-06-30,12156162000,4061643000.0,,
KLAC,2026,Q3,2025-03-31,8981421000,1088416000.0,,
KLAC,2025,Q2,2024-12-31,5918392000,824527000.0,9772604000.0,4138258000.0
KLAC,2026,Q1,2024-09-30,2841541000,,,
KLAC,2025,FY,2024-06-30,9812247000,2761896000.0,,
KLAC,2025,Q3,2024-03-31,2359830000,,,
KLAC,2025,Q2,2023-12-31,2486726000,,,
KLAC,2025,Q1,2023-09-30,2396956000,,,
KLAC,2025,FY,2023-06-30,10496056000,3387351000.0,,
KLAC,2023,Q3,2023-03-31,8140919000,697837000.0,8018750000.0,3418521000.0
KLAC,2023,Q2,2022-12-31,2983887000,2004860000.0,8132582000.0,3482501000.0
KLAC,2023,Q1,2022-09-30,2724424000,,7643939000.0,3139364000.0
KLAC,2024,FY,2022-06-30,9211883000,3322060000.0,,
KLAC,2023,Q3,2022-03-31,2288676000,,,
KLAC,2023,Q2,2021-12-31,2352630000,,,
KLAC,2023,Q1,2021-09-30,2083838000,,,
KLAC,2021,FY,2021-06-30,1925471000,632978000.0,,
KLAC,2022,Q3,2021-03-31,4993263000,,,
KLAC,2022,Q2,2020-12-31,1650870000,,,
KLAC,2022,Q1,2020-09-30,1538620000,,,
KLAC,2020,FY,2020-06-30,5806424000,1215025000.0,,
