ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
KO,2026,Q1,2026-04-03,12472000000,3966000000.0,30390000000.0,22378000000.0
KO,2025,FY,2025-12-31,47941000000,13107000000.0,,
KO,2025,Q3,2025-09-26,12455000000,10836000000.0,27247000000.0,22499000000.0
KO,2025,Q2,2025-06-27,12535000000,7140000000.0,26609000000.0,21944000000.0
KO,2026,Q1,2025-03-28,11129000000,,,
KO,2025,FY,2024-12-31,47061000000,10631000000.0,,
KO,2025,Q3,2024-09-27,35517000000,2848000000.0,,
KO,2025,Q2,2024-06-28,12363000000,5586000000.0,,
KO,2025,Q1,2024-03-29,11300000000,3185000000.0,,
KO,2025,FY,2023-12-31,45754000000,10714000000.0,,
KO,2024,Q3,2023-09-29,34905000000,3087000000.0,,
KO,2024,Q2,2023-06-30,11972000000,2521000000.0,,
KO,2024,Q1,2023-03-31,10980000000,3107000000.0,,
KO,2024,FY,2022-12-31,43004000000,9542000000.0,,
KO,2023,Q3,2022-09-30,32879000000,2822000000.0,,
KO,2023,Q2,2022-07-01,11325000000,4686000000.0,,
KO,2023,Q1,2022-04-01,10491000000,2781000000.0,,
KO,2021,FY,2021-12-31,38655000000,9804000000.0,,
KO,2022,Q3,2021-10-01,10042000000,2471000000.0,,
KO,2022,Q2,2021-07-02,10129000000,,,
KO,2022,Q1,2021-04-02,9020000000,,,
KO,2021,FY,2020-12-31,33014000000,7768000000.0,19240000000.0,14601000000.0
KO,2021,Q3,2020-09-25,8652000000,,,
KO,2021,Q2,2020-06-26,7150000000,4554000000.0,,
