ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
LAD,2026,Q1,2026-03-31,9271400000,102000000.0,8151800000.0,8199700000.0
LAD,2025,FY,2025-12-31,37634900000,825900000.0,,
LAD,2025,Q3,2025-09-30,9675800000,218600000.0,7925900000.0,6526000000.0
LAD,2025,Q2,2025-06-30,18761200000,256100000.0,7941800000.0,6513500000.0
LAD,2026,Q1,2025-03-31,9178300000,,,
LAD,2024,FY,2024-12-31,36188200000,821600000.0,,
LAD,2024,Q3,2024-09-30,9221000000,585800000.0,7893100000.0,6664100000.0
LAD,2025,Q2,2024-06-30,17793600000,,,
LAD,2025,Q1,2024-03-31,8561800000,,,
LAD,2025,FY,2023-12-31,31042300000,1000800000.0,,
LAD,2024,Q3,2023-09-30,8277000000,264900000.0,,
LAD,2024,Q2,2023-06-30,8111500000,525900000.0,,
LAD,2024,Q1,2023-03-31,6973800000,,,
LAD,2024,FY,2022-12-31,28187800000,,,
LAD,2023,Q3,2022-09-30,7295700000,329600000.0,,
LAD,2023,Q2,2022-06-30,7240100000,,,
LAD,2022,Q1,2022-03-31,6705300000,,3884600000.0,2825100000.0
LAD,2021,FY,2021-12-31,22831700000,1062700000.0,,
LAD,2021,Q3,2021-09-30,16522200000,,3075500000.0,2181800000.0
LAD,2021,Q2,2021-06-30,10352400000,,3870800000.0,2595800000.0
LAD,2022,Q1,2021-03-31,4343000000,,,
LAD,2022,FY,2020-12-31,13126500000,470300000.0,,
LAD,2020,Q3,2020-09-30,9182500000,282700000.0,2750400000.0,2212400000.0
LAD,2021,Q2,2020-06-30,2758600000,77700000.0,,
