ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
LINE,2026,Q1,2026-03-31,1297000000,-51000000.0,1263000000.0,1490000000.0
LINE,2025,FY,2025-12-31,5355000000,-113000000.0,1239000000.0,1548000000.0
LINE,2025,Q3,2025-09-30,1377000000,-106000000.0,1282000000.0,1291000000.0
LINE,2025,Q2,2025-06-30,1350000000,-7000000.0,1348000000.0,1410000000.0
LINE,2026,Q1,2025-03-31,1292000000,,,
LINE,2024,FY,2024-12-31,5340000000,,1285000000.0,1493000000.0
LINE,2024,Q3,2024-09-30,4001000000,,1599000000.0,1495000000.0
LINE,2025,Q2,2024-06-30,2666000000,,,
LINE,2025,Q1,2024-03-31,1328000000,,,
LINE,2025,FY,2023-12-31,5342000000,-96000000.0,,
LINE,2024,Q3,2023-09-30,1329000000,-50000000.0,,
LINE,2024,Q2,2023-06-30,2679000000,-8000000.0,,
LINE,2024,FY,2022-12-31,4928000000,-76000000.0,,
