ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
LIN,2026,Q1,2026-03-31,8781000000,1900000000.0,12751000000.0,15391000000.0
LIN,2025,FY,2025-12-31,33986000000,7058000000.0,,
LIN,2025,Q3,2025-09-30,8615000000,1972000000.0,13331000000.0,16192000000.0
LIN,2025,Q2,2025-06-30,8495000000,1766000000.0,13627000000.0,14714000000.0
LIN,2026,Q1,2025-03-31,8112000000,1673000000.0,,
LIN,2025,FY,2024-12-31,33005000000,,12945000000.0,14544000000.0
LIN,2025,Q3,2024-09-30,24723000000,1550000000.0,,
LIN,2025,Q2,2024-06-30,8267000000,,,
LIN,2025,Q1,2024-03-31,8100000000,1665000000.0,,
LIN,2025,FY,2023-12-31,32854000000,,,
LIN,2023,Q3,2023-09-30,8155000000,,11737000000.0,14162000000.0
LIN,2024,Q2,2023-06-30,8204000000,3091000000.0,,
LIN,2024,Q1,2023-03-31,8193000000,,,
LIN,2024,FY,2022-12-31,33364000000,4281000000.0,,
LIN,2022,Q3,2022-09-30,8797000000,,11203000000.0,15061000000.0
LIN,2023,Q2,2022-06-30,8457000000,1546000000.0,,
LIN,2023,Q1,2022-03-31,8211000000,,,
LIN,2023,FY,2021-12-31,30793000000,3826000000.0,,
LIN,2022,Q3,2021-09-30,7668000000,2905000000.0,,
LIN,2021,Q2,2021-06-30,7584000000,,10446000000.0,14676000000.0
LIN,2022,Q1,2021-03-31,7243000000,1018000000.0,,
LIN,2022,FY,2020-12-31,27243000000,2626000000.0,,
LIN,2021,Q3,2020-09-30,6855000000,,,
LIN,2020,Q2,2020-06-30,13116000000,458000000.0,12073000000.0,15095000000.0
