ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
LNC,2026,Q1,2026-03-31,5306000000,-172000000.0,,
LNC,2025,FY,2025-12-31,18212000000,1177000000.0,,
LNC,2025,Q3,2025-09-30,4555000000,445000000.0,,
LNC,2025,Q2,2025-06-30,4044000000,699000000.0,,
LNC,2025,Q1,2025-03-31,4691000000,,,
LNC,2024,FY,2024-12-31,18442000000,3275000000.0,,
LNC,2025,Q3,2024-09-30,4111000000,-528000000.0,,
LNC,2025,Q2,2024-06-30,5153000000,895000000.0,,
LNC,2025,Q1,2024-03-31,4116000000,,,
LNC,2023,FY,2023-12-31,11645000000,,,
LNC,2023,Q3,2023-09-30,4203000000,,,
LNC,2024,Q2,2023-06-30,2929000000,,,
LNC,2024,Q1,2023-03-31,3814000000,-881000000.0,,
LNC,2024,FY,2022-12-31,18810000000,,,
LNC,2022,Q3,2022-09-30,14589000000,-2574000000.0,,
LNC,2023,Q2,2022-06-30,5577000000,840000000.0,,
LNC,2022,Q1,2022-03-31,4687000000,,,
LNC,2023,FY,2021-12-31,17715000000,,,
LNC,2022,Q3,2021-09-30,5241000000,318000000.0,,
LNC,2022,Q2,2021-06-30,9386000000,,,
LNC,2022,Q1,2021-03-31,4534000000,,,
LNC,2021,FY,2020-12-31,17439000000,,,
LNC,2020,Q3,2020-09-30,13303000000,356000000.0,,
LNC,2020,Q2,2020-06-30,3517000000,,,
