ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
LPX,2026,Q1,2026-03-31,574000000,27000000.0,760000000.0,233000000.0
LPX,2025,FY,2025-12-31,2708000000,146000000.0,,
LPX,2025,Q3,2025-09-30,663000000,9000000.0,862000000.0,294000000.0
LPX,2025,Q2,2025-06-30,755000000,145000000.0,895000000.0,315000000.0
LPX,2025,Q1,2025-03-31,724000000,91000000.0,839000000.0,277000000.0
LPX,2024,FY,2024-12-31,2941000000,,,
LPX,2025,Q3,2024-09-30,722000000,90000000.0,,
LPX,2024,Q2,2024-06-30,1539000000,267000000.0,883000000.0,261000000.0
LPX,2025,Q1,2024-03-31,724000000,,,
LPX,2024,FY,2023-12-31,2581000000,,778000000.0,259000000.0
LPX,2023,Q3,2023-09-30,1923000000,,745000000.0,266000000.0
LPX,2024,Q2,2023-06-30,611000000,-20000000.0,,
LPX,2024,Q1,2023-03-31,584000000,,,
LPX,2022,FY,2022-12-31,3854000000,1083000000.0,,
LPX,2023,Q3,2022-09-30,852000000,,,
LPX,2023,Q2,2022-06-30,1130000000,,,
LPX,2023,Q1,2022-03-31,1167000000,,,
LPX,2023,FY,2021-12-31,3915000000,,,
LPX,2021,Q3,2021-09-30,3561000000,365000000.0,1197000000.0,427000000.0
LPX,2021,Q2,2021-06-30,2342000000,,1230000000.0,353000000.0
LPX,2021,Q1,2021-03-31,1017000000,,1226000000.0,360000000.0
LPX,2020,FY,2020-12-31,2788000000,,993000000.0,286000000.0
LPX,2021,Q3,2020-09-30,1928000000,243000000.0,,
LPX,2020,Q1,2020-06-30,548000000,,689000000.0,219000000.0
