ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
LSCC,2026,Q1,2026-04-04,170897000,21817000.0,386231000.0,110964000.0
LSCC,2025,FY,2026-01-03,523262000,3084000.0,,
LSCC,2025,Q3,2025-09-27,133349000,2794000.0,342225000.0,105778000.0
LSCC,2025,Q2,2025-06-28,244121000,2913000.0,322426000.0,86882000.0
LSCC,2025,Q1,2025-03-29,120150000,,338330000.0,78459000.0
LSCC,2025,FY,2024-12-28,509401000,61131000.0,364834000.0,99622000.0
LSCC,2025,Q3,2024-09-28,127091000,,,
LSCC,2025,Q2,2024-06-29,264891000,22631000.0,,
LSCC,2025,Q1,2024-03-30,140815000,14796000.0,,
LSCC,2025,FY,2023-12-30,737154000,259061000.0,,
LSCC,2024,Q3,2023-09-30,192169000,,,
LSCC,2023,Q2,2023-07-01,374389000,106567000.0,344612000.0,91966000.0
LSCC,2023,Q1,2023-04-01,184310000,55923000.0,348880000.0,97158000.0
LSCC,2023,FY,2022-12-31,660356000,,379167000.0,127373000.0
LSCC,2023,Q3,2022-10-01,172509000,46359000.0,,
LSCC,2023,Q2,2022-07-02,311887000,44532000.0,,
LSCC,2023,Q1,2022-04-02,150515000,36078000.0,,
LSCC,2023,FY,2022-01-01,515327000,95922000.0,,
LSCC,2021,Q3,2021-10-02,131911000,26739000.0,351759000.0,103369000.0
LSCC,2022,Q2,2021-07-03,125905000,,,
LSCC,2022,Q1,2021-04-03,115716000,18813000.0,,
LSCC,2020,FY,2021-01-02,107173000,15989000.0,,
LSCC,2020,Q3,2020-09-26,103042000,12607000.0,338950000.0,87834000.0
LSCC,2020,FY,2020-06-27,100589000,,,
