ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
LYFT,2026,Q1,2026-03-31,1650489000,14250000.0,2722531000.0,4665897000.0
LYFT,2025,FY,2025-12-31,6316261000,2844008000.0,,
LYFT,2025,Q3,2025-09-30,1685195000,46074000.0,2995413000.0,4135851000.0
LYFT,2025,Q2,2025-06-30,2851310000,,2757582000.0,3916737000.0
LYFT,2026,Q1,2025-03-31,1450172000,2567000.0,,
LYFT,2024,FY,2024-12-31,5786016000,,,
LYFT,2024,Q3,2024-09-30,1522692000,,2867368000.0,3848606000.0
LYFT,2025,Q2,2024-06-30,1435846000,,,
LYFT,2025,Q1,2024-03-31,1277201000,-31535000.0,,
LYFT,2024,FY,2023-12-31,4116216000,,2577419000.0,2961561000.0
LYFT,2023,Q3,2023-09-30,1069939000,-314011000.0,2500239000.0,2948862000.0
LYFT,2023,Q2,2023-06-30,1020906000,,2479318000.0,3020439000.0
LYFT,2023,Q1,2023-03-31,952697000,,2547504000.0,3135424000.0
LYFT,2022,FY,2022-12-31,4095135000,-1584511000.0,,
LYFT,2022,Q3,2022-09-30,2698694000,-422201000.0,2472739000.0,2784849000.0
LYFT,2023,Q2,2022-06-30,914547000,,,
LYFT,2022,Q1,2022-03-31,875575000,,2935550000.0,2577183000.0
LYFT,2023,FY,2021-12-31,2957979000,-1062144000.0,,
LYFT,2021,Q3,2021-09-30,864405000,,,
LYFT,2021,Q2,2021-06-30,765025000,,2602569000.0,2291452000.0
LYFT,2021,Q1,2021-03-31,568790000,,2580986000.0,2220849000.0
LYFT,2022,FY,2020-12-31,2364681000,,,
LYFT,2020,Q3,2020-09-30,1681239000,-459517000.0,2753054000.0,2045175000.0
LYFT,2021,Q2,2020-06-30,312348000,-835185000.0,,
