ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MAS,2026,Q1,2026-03-31,1918000000,228000000.0,2895000000.0,1653000000.0
MAS,2025,FY,2025-12-31,7562000000,810000000.0,,
MAS,2025,Q3,2025-09-30,1917000000,200000000.0,2959000000.0,1576000000.0
MAS,2025,Q2,2025-06-30,2051000000,283000000.0,2925000000.0,1609000000.0
MAS,2026,Q1,2025-03-31,1801000000,,,
MAS,2025,FY,2024-12-31,7828000000,822000000.0,,
MAS,2025,Q3,2024-09-30,1983000000,,,
MAS,2025,Q2,2024-06-30,4017000000,,,
MAS,2025,Q1,2024-03-31,1926000000,,,
MAS,2025,FY,2023-12-31,7967000000,908000000.0,,
MAS,2024,Q3,2023-09-30,1979000000,,,
MAS,2024,Q2,2023-06-30,4106000000,499000000.0,,
MAS,2023,Q1,2023-03-31,1979000000,,3148000000.0,2018000000.0
MAS,2024,FY,2022-12-31,8680000000,844000000.0,,
MAS,2023,Q3,2022-09-30,6757000000,218000000.0,,
MAS,2023,Q2,2022-06-30,2352000000,,,
MAS,2023,Q1,2022-03-31,2201000000,,,
MAS,2023,FY,2021-12-31,8375000000,,,
MAS,2022,Q3,2021-09-30,2204000000,278000000.0,,
MAS,2022,Q2,2021-06-30,2179000000,99000000.0,,
MAS,2021,Q1,2021-03-31,1970000000,94000000.0,3206000000.0,1748000000.0
MAS,2020,FY,2020-12-31,7188000000,1224000000.0,,
MAS,2020,Q3,2020-09-30,5328000000,1065000000.0,3487000000.0,1737000000.0
MAS,2020,Q2,2020-06-30,1764000000,772000000.0,3225000000.0,2154000000.0
