ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MA,2026,Q1,2026-03-31,8398000000,3882000000.0,22498000000.0,22934000000.0
MA,2025,FY,2025-12-31,32791000000,14968000000.0,,
MA,2025,Q3,2025-09-30,8602000000,3927000000.0,23223000000.0,20693000000.0
MA,2025,Q2,2025-06-30,8133000000,3701000000.0,22140000000.0,19029000000.0
MA,2026,Q1,2025-03-31,7250000000,3280000000.0,,
MA,2025,FY,2024-12-31,28167000000,12874000000.0,,
MA,2025,Q3,2024-09-30,7369000000,3263000000.0,,
MA,2025,Q2,2024-06-30,6961000000,3258000000.0,,
MA,2025,Q1,2024-03-31,6348000000,3011000000.0,,
MA,2024,FY,2023-12-31,25098000000,,,
MA,2024,Q3,2023-09-30,6533000000,3198000000.0,,
MA,2024,Q2,2023-06-30,6269000000,2845000000.0,,
MA,2024,Q1,2023-03-31,5748000000,,,
MA,2023,FY,2022-12-31,22237000000,,16606000000.0,14171000000.0
MA,2023,Q3,2022-09-30,5756000000,2499000000.0,,
MA,2022,Q2,2022-06-30,16729000000,2275000000.0,15211000000.0,12085000000.0
MA,2022,Q1,2022-03-31,8025000000,2631000000.0,15953000000.0,11928000000.0
MA,2021,FY,2021-12-31,29845000000,,,
MA,2022,Q3,2021-09-30,4985000000,2414000000.0,,
MA,2021,Q2,2021-06-30,8683000000,2066000000.0,15079000000.0,11297000000.0
MA,2022,Q1,2021-03-31,4155000000,1828000000.0,,
MA,2022,FY,2020-12-31,15301000000,6411000000.0,,
MA,2020,Q3,2020-09-30,5935000000,,18469000000.0,9958000000.0
MA,2020,Q2,2020-06-30,7344000000,,19381000000.0,9923000000.0
