ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MCK,2026,FY,2026-03-31,403430000000,5099000000.0,57210000000.0,67017000000.0
MCK,2026,Q3,2025-12-31,106158000000,1186000000.0,59697000000.0,68131000000.0
MCK,2026,Q2,2025-09-30,103150000000,1163000000.0,59887000000.0,68031000000.0
MCK,2026,Q1,2025-06-30,97827000000,831000000.0,56801000000.0,64331000000.0
MCK,2026,FY,2025-03-31,359051000000,3481000000.0,55398000000.0,61604000000.0
MCK,2025,Q3,2024-12-31,268228000000,,51741000000.0,58562000000.0
MCK,2025,Q2,2024-09-30,93651000000,,53341000000.0,58771000000.0
MCK,2025,Q1,2024-06-30,79283000000,,52252000000.0,56434000000.0
MCK,2026,FY,2024-03-31,308951000000,,,
MCK,2025,Q3,2023-12-31,80898000000,589000000.0,,
MCK,2025,Q2,2023-09-30,77215000000,703000000.0,,
MCK,2025,Q1,2023-06-30,74483000000,,,
MCK,2023,FY,2023-03-31,276711000000,,,
MCK,2024,Q3,2022-12-31,70490000000,2773000000.0,,
MCK,2024,Q2,2022-09-30,70157000000,967000000.0,,
MCK,2024,Q1,2022-06-30,67154000000,,,
MCK,2024,FY,2022-03-31,263966000000,1114000000.0,,
MCK,2022,Q3,2021-12-31,197864000000,,46498000000.0,47452000000.0
MCK,2023,Q2,2021-09-30,66576000000,843000000.0,,
MCK,2023,Q1,2021-06-30,62674000000,486000000.0,,
MCK,2023,FY,2021-03-31,238228000000,,,
MCK,2022,Q3,2020-12-31,179086000000,,,
MCK,2022,Q2,2020-09-30,60808000000,,,
MCK,2021,FY,2020-06-30,55679000000,,,
