ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MDB,2027,Q1,2026-04-30,687616000,4434000.0,3059618000.0,618179000.0
MDB,2026,FY,2026-01-31,2463797000,-71151000.0,,
MDB,2026,Q3,2025-10-31,628309000,-2007000.0,2932314000.0,558033000.0
MDB,2026,Q2,2025-07-31,1140416000,,2904539000.0,509833000.0
MDB,2027,Q1,2025-04-30,549014000,,,
MDB,2026,FY,2025-01-31,2006443000,-129072000.0,2923522000.0,561987000.0
MDB,2026,Q3,2024-10-31,529375000,-9776000.0,,
MDB,2026,Q2,2024-07-31,478109000,,,
MDB,2026,Q1,2024-04-30,450561000,,,
MDB,2024,FY,2024-01-31,1683011000,,,
MDB,2024,Q3,2023-10-31,432938000,,2320593000.0,489563000.0
MDB,2025,Q2,2023-07-31,423791000,,,
MDB,2024,Q1,2023-04-30,368280000,,2232294000.0,532567000.0
MDB,2025,FY,2023-01-31,1284040000,,,
MDB,2024,Q3,2022-10-31,333621000,-84841000.0,,
MDB,2023,Q2,2022-07-31,303660000,-118865000.0,2108514000.0,524897000.0
MDB,2023,Q1,2022-04-30,285447000,,2096307000.0,503722000.0
MDB,2022,FY,2022-01-31,873782000,,,
MDB,2023,Q3,2021-10-31,226893000,-81293000.0,,
MDB,2022,Q2,2021-07-31,198747000,,1996111000.0,347903000.0
MDB,2022,Q1,2021-04-30,181648000,,1096022000.0,328681000.0
MDB,2023,FY,2021-01-31,590380000,,,
MDB,2022,Q3,2020-10-31,150771000,-72651000.0,,
MDB,2021,Q2,2020-07-31,268610000,-64525000.0,1104823000.0,252661000.0
