ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MEDP,2026,Q2,2026-06-30,707331000,121362000.0,1050285000.0,1435429000.0
MEDP,2026,Q1,2026-03-31,706604000,,1139055000.0,1345014000.0
MEDP,2025,FY,2025-12-31,2530234000,451123000.0,,
MEDP,2025,Q3,2025-09-30,1821784000,315990000.0,737285000.0,1283914000.0
MEDP,2025,Q2,2025-06-30,603311000,204855000.0,520805000.0,1220443000.0
MEDP,2026,Q1,2025-03-31,558570000,114595000.0,,
MEDP,2025,FY,2024-12-31,2109054000,404386000.0,,
MEDP,2024,Q3,2024-09-30,533317000,96426000.0,1032595000.0,1041354000.0
MEDP,2024,Q2,2024-06-30,1039148000,190942000.0,872523000.0,993088000.0
MEDP,2025,Q1,2024-03-31,511044000,,,
MEDP,2025,FY,2023-12-31,1885842000,282810000.0,,
MEDP,2024,Q3,2023-09-30,492499000,70550000.0,,
MEDP,2023,Q2,2023-06-30,460868000,,378927000.0,852437000.0
MEDP,2024,Q1,2023-03-31,434074000,72894000.0,,
MEDP,2024,FY,2022-12-31,1459996000,,,
MEDP,2022,Q3,2022-09-30,383744000,66027000.0,337741000.0,820868000.0
MEDP,2023,Q2,2022-06-30,682154000,,,
MEDP,2023,Q1,2022-03-31,330947000,,,
MEDP,2023,FY,2021-12-31,1142377000,,,
MEDP,2022,Q3,2021-09-30,295567000,,,
MEDP,2021,Q2,2021-06-30,278293000,,550100000.0,472607000.0
MEDP,2021,Q1,2021-03-31,259965000,43306000.0,533380000.0,447306000.0
MEDP,2020,FY,2020-12-31,925925000,,,
MEDP,2021,Q3,2020-09-30,666247000,94518000.0,,
