ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MKC,2026,Q2,2026-05-31,1936600000,160200000.0,2788800000.0,3571800000.0
MKC,2026,Q1,2026-02-28,1873900000,1022300000.0,2609300000.0,3442100000.0
MKC,2025,FY,2025-11-30,6840300000,789400000.0,,
MKC,2025,Q3,2025-08-31,1724900000,225500000.0,2224000000.0,3120000000.0
MKC,2026,Q2,2025-05-31,1659500000,,,
MKC,2025,Q1,2025-02-28,1605500000,162300000.0,2012700000.0,3101900000.0
MKC,2024,FY,2024-11-30,6723700000,,,
MKC,2025,Q3,2024-08-31,4925700000,223100000.0,,
MKC,2024,Q2,2024-05-31,1643200000,184200000.0,2069400000.0,2984300000.0
MKC,2025,Q1,2024-02-29,1602700000,166000000.0,,
MKC,2025,FY,2023-11-30,6662200000,,,
MKC,2023,Q3,2023-08-31,4909400000,,2127500000.0,3171000000.0
MKC,2023,Q2,2023-05-31,1659200000,,2104000000.0,2487100000.0
MKC,2024,Q1,2023-02-28,1565500000,139100000.0,,
MKC,2024,FY,2022-11-30,6350500000,682000000.0,,
MKC,2022,Q3,2022-08-31,4654800000,,2412800000.0,3140400000.0
MKC,2023,Q2,2022-05-31,1536800000,273400000.0,,
MKC,2023,Q1,2022-02-28,1522400000,154900000.0,,
MKC,2022,FY,2021-11-30,6317900000,,,
MKC,2021,Q3,2021-08-31,1549400000,,2160900000.0,3161300000.0
MKC,2021,Q2,2021-05-31,3038200000,,2052600000.0,2381200000.0
MKC,2021,Q1,2021-02-28,1481500000,161800000.0,1954700000.0,2423700000.0
MKC,2020,FY,2020-11-30,5601300000,,,
MKC,2020,Q3,2020-08-31,4043400000,,1759600000.0,1953500000.0
