ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MLM,2026,Q1,2026-03-31,1362000000,1513000000.0,2356000000.0,1034000000.0
MLM,2025,FY,2025-12-31,1534000000,279000000.0,,
MLM,2025,Q3,2025-09-30,1846000000,858000000.0,3423000000.0,1154000000.0
MLM,2025,Q2,2025-06-30,1811000000,328000000.0,2393000000.0,1019000000.0
MLM,2026,Q1,2025-03-31,1162000000,,,
MLM,2025,FY,2024-12-31,1412000000,1995000000.0,2449000000.0,1002000000.0
MLM,2024,Q3,2024-09-30,4905000000,,2319000000.0,993000000.0
MLM,2025,FY,2024-06-30,1552000000,,,
MLM,2025,FY,2024-03-31,1056000000,,,
MLM,2024,FY,2023-12-31,6777000000,,,
MLM,2024,Q3,2023-09-30,5169000000,417000000.0,,
MLM,2024,Q2,2023-06-30,1821000000,,,
MLM,2024,Q1,2023-03-31,1354000000,,,
MLM,2022,FY,2022-12-31,6160700000,,,
MLM,2023,Q3,2022-09-30,1811700000,,,
MLM,2022,Q2,2022-06-30,1641700000,,2760300000.0,761400000.0
MLM,2023,Q1,2022-03-31,1230800000,,,
MLM,2021,FY,2021-12-31,5414000000,,,
MLM,2022,Q1,2021-10-31,250000000,,,
MLM,2022,Q3,2021-09-30,3917600000,,,
MLM,2022,Q2,2021-06-30,1377900000,225800000.0,,
MLM,2022,Q1,2021-03-31,982400000,,,
MLM,2021,FY,2020-12-31,4729900000,,,
MLM,2021,Q3,2020-09-30,1321400000,,,
