ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MOS,2026,Q1,2026-03-31,2998000000,-254500000.0,5340800000.0,4287600000.0
MOS,2025,FY,2025-12-31,12052400000,575400000.0,,
MOS,2025,Q3,2025-09-30,9078700000,1093800000.0,5075800000.0,4449700000.0
MOS,2025,Q2,2025-06-30,5626600000,648800000.0,5017900000.0,4416700000.0
MOS,2025,Q1,2025-03-31,2620900000,,4594800000.0,4091000000.0
MOS,2024,FY,2024-12-31,11122800000,,,
MOS,2024,Q3,2024-09-30,2810900000,5900000.0,4971200000.0,4175700000.0
MOS,2025,Q2,2024-06-30,5496000000,-150900000.0,,
MOS,2024,Q1,2024-03-31,2679400000,45200000.0,4655200000.0,4020400000.0
MOS,2023,FY,2023-12-31,13696100000,,,
MOS,2024,Q3,2023-09-30,3548300000,841200000.0,,
MOS,2024,Q2,2023-06-30,3394000000,803800000.0,,
MOS,2024,Q1,2023-03-31,3604300000,,,
MOS,2023,FY,2022-12-31,19125200000,,6556600000.0,5533800000.0
MOS,2022,Q3,2022-09-30,5348500000,,6899700000.0,5130300000.0
MOS,2023,Q2,2022-06-30,9295400000,,,
MOS,2023,Q1,2022-03-31,3922300000,,,
MOS,2021,FY,2021-12-31,12357400000,1630600000.0,,
MOS,2022,Q3,2021-09-30,3418600000,376500000.0,,
MOS,2022,Q2,2021-06-30,5097800000,,,
MOS,2022,Q1,2021-03-31,2297100000,,,
MOS,2022,FY,2020-12-31,8681700000,,,
MOS,2020,Q3,2020-09-30,6224300000,-6200000.0,3748800000.0,2865700000.0
MOS,2020,Q2,2020-06-30,2044700000,,4055600000.0,3112900000.0
