ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MPT,2026,Q1,2026-03-31,252065000,33107000.0,,
MPT,2025,FY,2025-12-31,972022000,-275937000.0,,
MPT,2025,Q3,2025-09-30,237522000,-77730000.0,,
MPT,2025,Q2,2025-06-30,240359000,-216632000.0,,
MPT,2026,Q1,2025-03-31,223799000,,,
MPT,2025,FY,2024-12-31,995547000,,,
MPT,2025,Q3,2024-09-30,225827000,,,
MPT,2025,Q2,2024-06-30,537876000,,,
MPT,2025,Q1,2024-03-31,271316000,,,
MPT,2025,FY,2023-12-31,871799000,,,
MPT,2024,Q3,2023-09-30,306576000,,,
MPT,2024,Q2,2023-06-30,337395000,-42433000.0,,
MPT,2023,Q1,2023-03-31,350211000,,,
MPT,2024,FY,2022-12-31,1542851000,,,
MPT,2023,Q3,2022-09-30,352339000,,,
MPT,2023,Q2,2022-06-30,400226000,,,
MPT,2023,Q1,2022-03-31,409800000,631681000.0,,
MPT,2022,FY,2021-12-31,1544669000,656940000.0,,
MPT,2022,Q3,2021-09-30,390779000,171395000.0,,
MPT,2022,Q2,2021-06-30,381792000,,,
MPT,2022,Q1,2021-03-31,362765000,163880000.0,,
MPT,2020,FY,2020-12-31,1249238000,432272000.0,,
MPT,2020,Q3,2020-09-30,329458000,,,
MPT,2021,Q2,2020-06-30,291842000,109468000.0,,
