ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MSCI,2026,Q2,2026-06-30,867000000,748000000.0,1436200000.0,1605700000.0
MSCI,2026,Q1,2026-03-31,850800000,,1394100000.0,1613200000.0
MSCI,2025,FY,2025-12-31,3134459000,1202305000.0,,
MSCI,2025,Q3,2025-09-30,793426000,917636000.0,1308721000.0,1484237000.0
MSCI,2026,Q2,2025-06-30,1518500000,,,
MSCI,2026,Q1,2025-03-31,745800000,,,
MSCI,2025,FY,2024-12-31,2856128000,,1344021000.0,1585654000.0
MSCI,2024,Q3,2024-09-30,724705000,,1285796000.0,1377915000.0
MSCI,2024,Q2,2024-06-30,1387914000,,1315052000.0,1376442000.0
MSCI,2025,Q1,2024-03-31,679965000,,,
MSCI,2025,FY,2023-12-31,2528920000,1148592000.0,,
MSCI,2024,Q3,2023-09-30,1838814000,259659000.0,,
MSCI,2023,Q2,2023-06-30,621157000,,1524185000.0,1218125000.0
MSCI,2024,Q1,2023-03-31,592218000,,,
MSCI,2024,FY,2022-12-31,2248598000,870573000.0,,
MSCI,2022,Q3,2022-09-30,560639000,655602000.0,1526908000.0,1067252000.0
MSCI,2022,Q2,2022-06-30,1111751000,,1489081000.0,1120280000.0
MSCI,2023,Q1,2022-03-31,559945000,,,
MSCI,2021,FY,2021-12-31,549842000,725983000.0,,
MSCI,2022,Q3,2021-09-30,517099000,532118000.0,,
MSCI,2021,Q2,2021-06-30,976603000,,2558543000.0,950672000.0
MSCI,2021,Q1,2021-03-31,478423000,,2306639000.0,1425327000.0
MSCI,2021,FY,2020-12-31,443661000,601822000.0,1925598000.0,1021769000.0
MSCI,2021,Q3,2020-09-30,1251729000,,,
