ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MSM,2026,Q3,2026-05-30,1047083000,78705000.0,1276750000.0,824733000.0
MSM,2026,Q2,2026-02-28,917774000,94288000.0,1229728000.0,709042000.0
MSM,2026,Q1,2025-11-29,965684000,51804000.0,1259522000.0,726301000.0
MSM,2025,FY,2025-08-30,3769521000,199328000.0,,
MSM,2026,Q3,2025-05-31,2791346000,56861000.0,,
MSM,2026,Q2,2025-03-01,891717000,,,
MSM,2026,Q1,2024-11-30,928484000,,,
MSM,2025,FY,2024-08-31,3820951000,,,
MSM,2024,Q3,2024-06-01,979350000,,1212848000.0,583512000.0
MSM,2025,Q2,2024-03-02,935348000,,,
MSM,2025,Q1,2023-12-02,953969000,69128000.0,,
MSM,2024,FY,2023-09-02,4009282000,343107000.0,1317513000.0,649436000.0
MSM,2024,Q3,2023-06-03,1054464000,95180000.0,,
MSM,2024,Q2,2023-03-04,961632000,,,
MSM,2023,Q1,2022-12-03,957745000,81314000.0,1558573000.0,726761000.0
MSM,2022,FY,2022-09-03,3691893000,339786000.0,,
MSM,2022,Q3,2022-05-28,2669648000,,1467560000.0,619806000.0
MSM,2022,Q2,2022-02-26,1711069000,135998000.0,1416812000.0,597171000.0
MSM,2023,Q1,2021-11-27,848547000,,,
MSM,2023,FY,2021-08-28,3243224000,,,
MSM,2021,Q3,2021-05-29,866294000,,1307667000.0,768816000.0
MSM,2022,Q2,2021-02-27,773995000,,,
MSM,2022,Q1,2020-11-28,771904000,38454000.0,,
MSM,2020,FY,2020-08-29,747732000,251117000.0,1237770000.0,408733000.0
