ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MS,2018,Q1,2018-03-31,5910000000,,,
MS,2015,Q2,2015-06-30,19650000000,,,
MS,2015,Q1,2015-03-31,9907000000,,,
MS,2014,FY,2014-12-31,7764000000,,,
MS,2014,FY,2014-09-30,8907000000,,,
MS,2014,Q2,2014-06-30,17555000000,,,
MS,2014,FY,2014-03-31,8996000000,,,
MS,2014,FY,2013-12-31,7845000000,,,
MS,2013,Q3,2013-09-30,24593000000,,,
MS,2014,Q2,2013-06-30,16683000000,,,
MS,2014,FY,2013-03-31,8172000000,,,
MS,2012,FY,2012-12-31,26112000000,,,
MS,2012,FY,2012-09-30,5280000000,,,
MS,2013,FY,2012-06-30,6939000000,,,
MS,2013,Q1,2012-03-31,6924000000,,,
MS,2011,FY,2011-12-31,5709000000,,,
MS,2012,FY,2011-09-30,9803000000,,,
MS,2012,FY,2011-06-30,9200000000,,,
MS,2011,Q1,2011-03-31,7635000000,,,
MS,2011,FY,2010-12-31,7743000000,,,
MS,2010,Q3,2010-09-30,23805000000,,,
MS,2011,Q2,2010-06-30,17035000000,,,
MS,2011,FY,2010-03-31,8986000000,,,
MS,2010,FY,2009-12-31,6836000000,,,
