ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MTG,2026,Q1,2026-03-31,297077000,165303000.0,,
MTG,2025,FY,2025-12-31,1213636000,738347000.0,,
MTG,2025,Q3,2025-09-30,304505000,191095000.0,,
MTG,2025,Q2,2025-06-30,304245000,192482000.0,,
MTG,2026,Q1,2025-03-31,306234000,185460000.0,,
MTG,2025,FY,2024-12-31,1207731000,762994000.0,,
MTG,2025,Q3,2024-09-30,906287000,199969000.0,,
MTG,2025,Q2,2024-06-30,305277000,,,
MTG,2025,Q1,2024-03-31,294361000,174097000.0,,
MTG,2025,FY,2023-12-31,1155102000,712949000.0,,
MTG,2024,Q3,2023-09-30,871145000,,,
MTG,2024,Q2,2023-06-30,290675000,191054000.0,,
MTG,2024,Q1,2023-03-31,283965000,154547000.0,,
MTG,2024,FY,2022-12-31,1172785000,,,
MTG,2022,Q3,2022-09-30,292799000,,,
MTG,2023,Q2,2022-06-30,293116000,249268000.0,,
MTG,2023,Q1,2022-03-31,294616000,175013000.0,,
MTG,2021,FY,2021-12-31,1185675000,,,
MTG,2022,Q3,2021-09-30,891555000,461049000.0,,
MTG,2022,Q2,2021-06-30,297852000,153051000.0,,
MTG,2022,Q1,2021-03-31,297957000,150021000.0,,
MTG,2022,FY,2020-12-31,1199146000,,,
MTG,2020,Q3,2020-09-30,296004000,294663000.0,,
MTG,2021,Q2,2020-06-30,293968000,163852000.0,,
