ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
MU,2026,Q3,2026-05-28,41456000000,28243000000.0,66737000000.0,19488000000.0
MU,2026,Q2,2026-02-26,23860000000,13785000000.0,41413000000.0,14296000000.0
MU,2026,Q1,2025-11-27,13643000000,5240000000.0,29665000000.0,12060000000.0
MU,2025,FY,2025-08-28,37378000000,8539000000.0,,
MU,2025,Q3,2025-05-29,26063000000,,27919000000.0,10135000000.0
MU,2025,Q2,2025-02-27,16762000000,,24689000000.0,7877000000.0
MU,2025,Q1,2024-11-28,8709000000,1870000000.0,24493000000.0,9015000000.0
MU,2025,FY,2024-08-29,25111000000,,,
MU,2025,Q3,2024-05-30,6811000000,332000000.0,,
MU,2025,Q2,2024-02-29,5824000000,,,
MU,2024,Q1,2023-11-30,4726000000,,21058000000.0,5962000000.0
MU,2025,FY,2023-08-31,15540000000,-5833000000.0,,
MU,2024,Q3,2023-06-01,3752000000,,,
MU,2024,Q2,2023-03-02,3693000000,,,
MU,2024,Q1,2022-12-01,4085000000,,,
MU,2022,FY,2022-09-01,30758000000,8687000000.0,,
MU,2023,Q3,2022-06-02,8642000000,2626000000.0,,
MU,2023,Q2,2022-03-03,7786000000,4569000000.0,,
MU,2022,Q1,2021-12-02,7687000000,,20191000000.0,6512000000.0
MU,2021,FY,2021-09-02,27705000000,5861000000.0,,
MU,2021,Q3,2021-06-03,19431000000,1735000000.0,18561000000.0,5462000000.0
MU,2021,Q2,2021-03-04,6236000000,,17279000000.0,5433000000.0
MU,2022,Q1,2020-12-03,5773000000,,,
MU,2022,FY,2020-09-03,21435000000,,,
