ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
NDAQ,2026,Q2,2026-06-30,2532000000,507000000.0,4533000000.0,4505000000.0
NDAQ,2026,Q1,2026-03-31,2137000000,519000000.0,4374000000.0,4391000000.0
NDAQ,2025,FY,2025-12-31,8262000000,1788000000.0,,
NDAQ,2025,Q3,2025-09-30,1958000000,1269000000.0,7597000000.0,7705000000.0
NDAQ,2025,Q2,2025-06-30,2090000000,,7352000000.0,7657000000.0
NDAQ,2026,Q1,2025-03-31,2096000000,,,
NDAQ,2025,FY,2024-12-31,7400000000,1117000000.0,7786000000.0,7902000000.0
NDAQ,2025,Q3,2024-09-30,1902000000,,,
NDAQ,2025,Q2,2024-06-30,1792000000,222000000.0,,
NDAQ,2025,Q1,2024-03-31,1674000000,,,
NDAQ,2025,FY,2023-12-31,6064000000,,,
NDAQ,2023,Q3,2023-09-30,4417000000,,12351000000.0,7048000000.0
NDAQ,2024,Q2,2023-06-30,2966000000,267000000.0,,
NDAQ,2024,Q1,2023-03-31,1533000000,302000000.0,,
NDAQ,2024,FY,2022-12-31,6226000000,,,
NDAQ,2023,Q3,2022-09-30,4644000000,,,
NDAQ,2023,Q2,2022-06-30,3087000000,307000000.0,,
NDAQ,2022,Q1,2022-03-31,1535000000,284000000.0,8178000000.0,8851000000.0
NDAQ,2022,FY,2021-12-31,5886000000,,7423000000.0,7872000000.0
NDAQ,2021,Q3,2021-09-30,4419000000,,5496000000.0,5595000000.0
NDAQ,2021,Q2,2021-06-30,3064000000,,5017000000.0,4895000000.0
NDAQ,2022,Q1,2021-03-31,1651000000,298000000.0,,
NDAQ,2022,FY,2020-12-31,5625000000,933000000.0,,
NDAQ,2021,Q3,2020-09-30,1413000000,264000000.0,,
