ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
NVST,2026,Q1,2026-04-03,705500000,38700000.0,1919100000.0,786600000.0
NVST,2025,FY,2025-12-31,2719500000,47000000.0,,
NVST,2025,Q3,2025-09-26,669900000,-30300000.0,1948300000.0,821700000.0
NVST,2025,Q2,2025-06-27,682100000,,1934900000.0,793900000.0
NVST,2026,Q1,2025-03-28,616900000,18000000.0,,
NVST,2025,FY,2024-12-31,2510600000,-1118600000.0,1788300000.0,878700000.0
NVST,2024,Q3,2024-09-27,1857700000,,1797000000.0,865500000.0
NVST,2025,Q2,2024-06-28,633100000,,,
NVST,2025,Q1,2024-03-29,623600000,23600000.0,,
NVST,2024,FY,2023-12-31,2566500000,,1743700000.0,780800000.0
NVST,2023,Q3,2023-09-29,1920900000,,1640700000.0,746800000.0
NVST,2023,Q2,2023-06-30,1289600000,51900000.0,1488900000.0,1150800000.0
NVST,2024,Q1,2023-03-31,627200000,,,
NVST,2023,FY,2022-12-31,2569100000,243100000.0,,
NVST,2023,Q3,2022-09-30,631100000,47600000.0,,
NVST,2022,Q2,2022-07-01,1277200000,,1388300000.0,1256200000.0
NVST,2022,Q1,2022-04-01,631400000,,1908900000.0,1255700000.0
NVST,2021,FY,2021-12-31,651800000,,,
NVST,2021,Q3,2021-10-01,1857100000,,1766400000.0,1269200000.0
NVST,2022,Q2,2021-07-02,637200000,90100000.0,,
NVST,2021,FY,2021-04-02,612600000,,,
NVST,2021,FY,2020-12-31,616300000,33300000.0,,
NVST,2021,Q3,2020-10-02,1312800000,35600000.0,,
NVST,2021,FY,2020-07-03,309400000,,,
