ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
OKTA,2027,Q1,2026-04-30,765000000,74000000.0,3306000000.0,2312000000.0
OKTA,2026,FY,2026-01-31,2919000000,235000000.0,,
OKTA,2026,Q3,2025-10-31,742000000,43000000.0,3201000000.0,2184000000.0
OKTA,2026,Q2,2025-07-31,1416000000,,3566000000.0,2647000000.0
OKTA,2027,Q1,2025-04-30,688000000,62000000.0,,
OKTA,2025,FY,2025-01-31,2610000000,,,
OKTA,2026,Q3,2024-10-31,665000000,5000000.0,,
OKTA,2026,Q2,2024-07-31,646000000,,,
OKTA,2026,Q1,2024-04-30,617000000,,,
OKTA,2024,FY,2024-01-31,2263000000,,,
OKTA,2024,Q3,2023-10-31,584000000,,2727000000.0,1543000000.0
OKTA,2025,Q2,2023-07-31,556000000,,,
OKTA,2025,Q1,2023-04-30,518000000,,,
OKTA,2023,FY,2023-01-31,1858000000,,,
OKTA,2024,Q3,2022-10-31,481000000,-209000000.0,,
OKTA,2023,Q2,2022-07-31,451807000,-210472000.0,2945502000.0,1236585000.0
OKTA,2024,Q1,2022-04-30,415000000,-243000000.0,,
OKTA,2022,FY,2022-01-31,1300201000,,,
OKTA,2022,Q3,2021-10-31,917186000,-607225000.0,2852868000.0,988166000.0
OKTA,2023,Q2,2021-07-31,566506000,-276682000.0,,
OKTA,2023,Q1,2021-04-30,251006000,-109232000.0,,
OKTA,2023,FY,2021-01-31,835000000,-266000000.0,,
OKTA,2022,Q3,2020-10-31,217379000,-72764000.0,,
OKTA,2022,Q2,2020-07-31,383305000,,,
