ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
OLLI,2026,Q1,2026-05-02,658928000,56400000.0,960989000.0,414220000.0
OLLI,2025,FY,2026-01-31,2649198000,240596000.0,,
OLLI,2025,Q3,2025-11-01,613619000,46172000.0,903804000.0,361593000.0
OLLI,2025,Q2,2025-08-02,679556000,61310000.0,967818000.0,368366000.0
OLLI,2026,Q1,2025-05-03,576767000,47560000.0,998021000.0,347804000.0
OLLI,2025,FY,2025-02-01,2271705000,199762000.0,993791000.0,304341000.0
OLLI,2025,Q3,2024-11-02,517428000,131208000.0,923787000.0,317107000.0
OLLI,2024,Q2,2024-08-03,578375000,,,
OLLI,2025,Q1,2024-05-04,508818000,46342000.0,878782000.0,310792000.0
OLLI,2025,FY,2024-02-03,2102662000,181439000.0,871428000.0,315551000.0
OLLI,2024,Q3,2023-10-28,1453713000,104964000.0,805559000.0,289103000.0
OLLI,2024,Q2,2023-07-29,514509000,42181000.0,818261000.0,298295000.0
OLLI,2023,Q1,2023-04-29,459154000,,,
OLLI,2024,FY,2023-01-28,1827009000,,,
OLLI,2023,Q3,2022-10-29,418072000,49702000.0,714352000.0,252193000.0
OLLI,2022,Q2,2022-07-30,452482000,,,
OLLI,2023,Q1,2022-04-30,406666000,12523000.0,731356000.0,258154000.0
OLLI,2021,FY,2022-01-29,501135000,,,
OLLI,2021,Q3,2021-10-30,383487000,,712515000.0,274596000.0
OLLI,2022,Q2,2021-07-31,415881000,,826850000.0,245863000.0
OLLI,2022,Q1,2021-05-01,452492000,55220000.0,833249000.0,255020000.0
OLLI,2020,FY,2021-01-30,515763000,242696000.0,,
OLLI,2021,FY,2020-10-31,414382000,,,
OLLI,2020,FY,2020-08-01,529313000,,,
