ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
PCTY,2026,Q3,2026-03-31,502286000,209438000.0,4358340000.0,4037807000.0
PCTY,2026,Q2,2025-12-31,824306000,98188000.0,5893928000.0,5678054000.0
PCTY,2026,Q1,2025-09-30,408172000,47991000.0,3162958000.0,2945328000.0
PCTY,2025,FY,2025-06-30,1595221000,227127000.0,,
PCTY,2026,Q3,2025-03-31,454548000,178521000.0,,
PCTY,2026,Q2,2024-12-31,347714000,,,
PCTY,2025,Q1,2024-09-30,362956000,49573000.0,3296273000.0,2500705000.0
PCTY,2024,FY,2024-06-30,1281680000,206766000.0,,
PCTY,2025,Q3,2024-03-31,366840000,85314000.0,,
PCTY,2024,Q2,2023-12-31,298416000,,3806698000.0,3422865000.0
PCTY,2025,Q1,2023-09-30,317586000,,,
PCTY,2025,FY,2023-06-30,1098036000,,,
PCTY,2023,Q3,2023-03-31,339857000,103568000.0,3566010000.0,3354664000.0
PCTY,2024,Q2,2022-12-31,273008000,,,
PCTY,2023,Q1,2022-09-30,253280000,30352000.0,2479620000.0,2411579000.0
PCTY,2023,FY,2022-06-30,847694000,90777000.0,4231683000.0,4120534000.0
PCTY,2022,Q3,2022-03-31,620827000,,4516991000.0,4438438000.0
PCTY,2022,Q2,2021-12-31,195041000,40785000.0,2087086000.0,2006170000.0
PCTY,2022,Q1,2021-09-30,181697000,,3332027000.0,3273447000.0
PCTY,2021,FY,2021-06-30,631725000,,,
PCTY,2022,Q3,2021-03-31,184927000,36834000.0,,
PCTY,2021,Q2,2020-12-31,280268000,22102000.0,2495817000.0,2271261000.0
PCTY,2022,Q1,2020-09-30,135794000,,,
PCTY,2022,FY,2020-06-30,561329000,,,
