ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
PINS,2026,Q1,2026-03-31,1007514000,-73587000,2242721000.0,530756000.0
PINS,2025,FY,2025-12-31,4221767000,416855000,,
PINS,2025,Q3,2025-09-30,1049205000,92108000,3565418000.0,426333000.0
PINS,2025,Q2,2025-06-30,998227000,38755000,3518414000.0,401804000.0
PINS,2026,Q1,2025-03-31,854988000,8922000,,
PINS,2025,FY,2024-12-31,3646166000,1862106000,3484707000.0,398133000.0
PINS,2025,Q3,2024-09-30,898373000,30556000,,
PINS,2025,Q2,2024-06-30,853680000,8887000,,
PINS,2025,Q1,2024-03-31,739983000,-24812000,,
PINS,2024,FY,2023-12-31,3055071000,-35610000,3338559000.0,317090000.0
PINS,2024,Q3,2023-09-30,763203000,6733000,,
PINS,2024,Q2,2023-06-30,708025000,-34942000,,
PINS,2024,Q1,2023-03-31,602581000,-208579000,,
PINS,2023,FY,2022-12-31,2802574000,-96047000,3454677000.0,380531000.0
PINS,2023,Q3,2022-09-30,684550000,-65181000,,
PINS,2023,Q2,2022-06-30,665930000,-43076000,,
PINS,2022,Q1,2022-03-31,574885000,-5281000,3207352000.0,225565000.0
PINS,2023,FY,2021-12-31,2578027000,316438000,,
PINS,2022,Q3,2021-09-30,632932000,93996000,,
PINS,2021,Q2,2021-06-30,613210000,69417000,2663711000.0,237449000.0
PINS,2022,Q1,2021-03-31,485230000,-21674000,,
PINS,2022,FY,2020-12-31,1692658000,-128323000,,
PINS,2021,Q3,2020-09-30,442616000,-94220000,,
PINS,2020,Q2,2020-06-30,272485000,-100748000,1958193000.0,166617000.0
