ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
PODD,2026,Q1,2026-03-31,761700000,91100000.0,1709500000.0,687500000.0
PODD,2025,FY,2025-12-31,2708100000,247100000.0,,
PODD,2025,Q3,2025-09-30,706300000,87600000.0,1859400000.0,647700000.0
PODD,2025,Q2,2025-06-30,649100000,22500000.0,2279700000.0,1010100000.0
PODD,2026,Q1,2025-03-31,569000000,35400000.0,,
PODD,2025,FY,2024-12-31,2071600000,418300000.0,,528400000.0
PODD,2024,Q3,2024-09-30,543900000,,1860900000.0,506200000.0
PODD,2025,Q2,2024-06-30,488500000,,,
PODD,2025,Q1,2024-03-31,441700000,51500000.0,,
PODD,2023,FY,2023-12-31,1697100000,,,
PODD,2023,Q3,2023-09-30,1187300000,,1471100000.0,451400000.0
PODD,2023,Q2,2023-06-30,754600000,,1421500000.0,425000000.0
PODD,2024,Q1,2023-03-31,358100000,,,
PODD,2022,FY,2022-12-31,1055400000,,,
PODD,2022,Q3,2022-09-30,935600000,,1329100000.0,334200000.0
PODD,2022,Q2,2022-06-30,594800000,,1309100000.0,279300000.0
PODD,2023,Q1,2022-03-31,295400000,27800000.0,,
PODD,2021,FY,2021-12-31,1098800000,,,
PODD,2021,Q3,2021-09-30,275600000,,1306900000.0,228600000.0
PODD,2022,Q2,2021-06-30,263200000,-25000000.0,,
PODD,2022,Q1,2021-03-31,252300000,,,
PODD,2022,FY,2020-12-31,904400000,6800000.0,,
PODD,2021,Q3,2020-09-30,234000000,,,
PODD,2021,Q2,2020-06-30,226300000,12300000.0,,
