ticker,year,fp,end_date,Revenue,NetIncome,CurrentAssets,CurrentLiabilities
POOL,2026,Q1,2026-03-31,1138014000,53229000.0,2344200000.0,1252466000.0
POOL,2025,FY,2025-12-31,5289396000,406404000.0,,
POOL,2025,Q3,2025-09-30,1451131000,127013000.0,1849039000.0,719511000.0
POOL,2025,Q2,2025-06-30,1784530000,,2032975000.0,807974000.0
POOL,2026,Q1,2025-03-31,1071526000,,2077577000.0,1157816000.0
POOL,2025,FY,2024-12-31,5310953000,434325000.0,,
POOL,2024,Q3,2024-09-30,4323474000,125701000.0,,
POOL,2024,Q2,2024-06-30,2890594000,,,
POOL,2025,Q1,2024-03-31,1120810000,,2136617000.0,1136180000.0
POOL,2023,FY,2023-12-31,1003050000,,,
POOL,2023,Q3,2023-09-30,4538545000,,,
POOL,2024,Q2,2023-06-30,1857363000,,2097055000.0,771740000.0
POOL,2023,Q1,2023-03-31,1206774000,,,
POOL,2023,FY,2022-12-31,1095920000,748462000.0,,
POOL,2023,FY,2022-09-30,1615339000,190055000.0,,
POOL,2022,Q2,2022-06-30,2055818000,,,
POOL,2023,FY,2022-03-31,1412650000,,,
POOL,2022,FY,2021-12-31,5295584000,,,
POOL,2022,FY,2021-09-30,1411448000,,,
POOL,2021,Q2,2021-06-30,2848579000,,,
POOL,2021,Q1,2021-03-31,1060745000,,,
POOL,2021,FY,2020-12-31,3936623000,,,
POOL,2021,Q3,2020-09-30,1139229000,307565000.0,1066681000.0,482518000.0
POOL,2020,Q2,2020-06-30,1958134000,,,
